SA4_CODE_2016,SS_NS_None_Mng,SS_NS_None_Pro,SS_NS_None_TecTW,SS_NS_None_CoPSW,SS_NS_None_ClAW,SS_NS_None_SWks,SS_NS_None_MaOpDv,SS_NS_None_Lab,SS_NS_None_IDNS,SS_NS_None_Tot,SS_NS_1_15_Mng,SS_NS_1_15_Pro,SS_NS_1_15_TecTW,SS_NS_1_15_CoPSW,SS_NS_1_15_ClAW,SS_NS_1_15_SWks,SS_NS_1_15_MaOpDv,SS_NS_1_15_Lab,SS_NS_1_15_IDNS,SS_NS_1_15_Tot,SS_NS_16_24_Mng,SS_NS_16_24_Pro,SS_NS_16_24_TecTW,SS_NS_16_24_CoPSW,SS_NS_16_24_ClAW,SS_NS_16_24_SWks,SS_NS_16_24_MaOpDv,SS_NS_16_24_Lab,SS_NS_16_24_IDNS,SS_NS_16_24_Tot,SS_NS_25_34_Mng,SS_NS_25_34_Pro,SS_NS_25_34_TecTW,SS_NS_25_34_CoPSW,SS_NS_25_34_ClAW,SS_NS_25_34_SWks,SS_NS_25_34_MaOpDv,SS_NS_25_34_Lab,SS_NS_25_34_IDNS,SS_NS_25_34_Tot,SS_NS_35_39_Mng,SS_NS_35_39_Pro,SS_NS_35_39_TecTW,SS_NS_35_39_CoPSW,SS_NS_35_39_ClAW,SS_NS_35_39_SWks,SS_NS_35_39_MaOpDv,SS_NS_35_39_Lab,SS_NS_35_39_IDNS,SS_NS_35_39_Tot,SS_NS_40_Mng,SS_NS_40_Pro,SS_NS_40_TecTW,SS_NS_40_CoPSW,SS_NS_40_ClAW,SS_NS_40_SWks,SS_NS_40_MaOpDv,SS_NS_40_Lab,SS_NS_40_IDNS,SS_NS_40_Tot,SS_NS_41_48_Mng,SS_NS_41_48_Pro,SS_NS_41_48_TecTW,SS_NS_41_48_CoPSW,SS_NS_41_48_ClAW,SS_NS_41_48_SWks,SS_NS_41_48_MaOpDv,SS_NS_41_48_Lab,SS_NS_41_48_IDNS,SS_NS_41_48_Tot,SS_NS_49mo_Mng,SS_NS_49mo_Pro,SS_NS_49mo_TecTW,SS_NS_49mo_CoPSW,SS_NS_49mo_ClAW,SS_NS_49mo_SWks,SS_NS_49mo_MaOpDv,SS_NS_49mo_Lab,SS_NS_49mo_IDNS,SS_NS_49mo_Tot,SS_NS_NS_Mng,SS_NS_NS_Pro,SS_NS_NS_TecTW,SS_NS_NS_CoPSW,SS_NS_NS_ClAW,SS_NS_NS_SWks,SS_NS_NS_MaOpDv,SS_NS_NS_Lab,SS_NS_NS_IDNS,SS_NS_NS_Tot,SS_NS_Tot_Mng,SS_NS_Tot_Pro,SS_NS_Tot_TecTW,SS_NS_Tot_CoPSW,SS_NS_Tot_ClAW,SS_NS_Tot_SWks,SS_NS_Tot_MaOpDv,SS_NS_Tot_Lab,SS_NS_Tot_Inad_des_Tot,SS_NS_Tot_Tot,Tot_None_Mng,Tot_None_Pro,Tot_None_TecTW,Tot_None_CoPSW,Tot_None_ClAW,Tot_None_SWks,Tot_None_MaOpDv,Tot_None_Lab,Tot_None_IDNS,Tot_None_Tot,Tot_1_15_Mng,Tot_1_15_Pro,Tot_1_15_TecTW,Tot_1_15_CoPSW,Tot_1_15_ClAW,Tot_1_15_SWks,Tot_1_15_MaOpDv,Tot_1_15_Lab,Tot_1_15_IDNS,Tot_1_15_Tot,Tot_16_24_Mng,Tot_16_24_Pro,Tot_16_24_TecTW,Tot_16_24_CoPSW,Tot_16_24_ClAW,Tot_16_24_SWks,Tot_16_24_MaOpDv,Tot_16_24_Lab,Tot_16_24_IDNS,Tot_16_24_Tot,Tot_25_34_Mng,Tot_25_34_Pro,Tot_25_34_TecTW,Tot_25_34_CoPSW,Tot_25_34_ClAW,Tot_25_34_SWks,Tot_25_34_MaOpDv,Tot_25_34_Lab,Tot_25_34_IDNS,Tot_25_34_Tot,Tot_35_39_Mng,Tot_35_39_Pro,Tot_35_39_TecTW,Tot_35_39_CoPSW,Tot_35_39_ClAW,Tot_35_39_SWks,Tot_35_39_MaOpDv,Tot_35_39_Lab,Tot_35_39_IDNS,Tot_35_39_Tot,Tot_40_Mng,Tot_40_Pro,Tot_40_TecTW,Tot_40_CoPSW,Tot_40_ClAW,Tot_40_SWks,Tot_40_MaOpDv,Tot_40_Lab,Tot_40_IDNS,Tot_40_Tot,Tot_41_48_Mng,Tot_41_48_Pro,Tot_41_48_TecTW,Tot_41_48_CoPSW,Tot_41_48_ClAW,Tot_41_48_SWks,Tot_41_48_MaOpDv,Tot_41_48_Lab,Tot_41_48_IDNS,Tot_41_48_Tot,Tot_49mo_Mng,Tot_49mo_Pro,Tot_49mo_TecTW,Tot_49mo_CoPSW,Tot_49mo_ClAW,Tot_49mo_SWks,Tot_49mo_MaOpDv,Tot_49mo_Lab,Tot_49mo_IDNS,Tot_49mo_Tot,Tot_NS_Mng,Tot_NS_Pro,Tot_NS_TecTW,Tot_NS_CoPSW,Tot_NS_ClAW,Tot_NS_SWks,Tot_NS_MaOpDv,Tot_NS_Lab,Tot_NS_IDNS,Tot_NS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_Inad_des_Tot,Tot_Tot_Tot
510,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,15,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,11,10,0,3,15,8,3,6,0,4,11,57,0,0,9,13,3,10,4,11,4,65,3,4,16,88,15,262,7,100,7,503,0,3,4,18,7,40,0,24,0,106,0,3,5,21,6,8,0,8,0,53,3,11,28,29,13,8,0,0,0,100,6,14,28,10,16,7,4,3,0,91,0,5,48,7,4,0,3,3,0,80,9,14,95,10,7,4,13,22,3,172,0,0,4,4,3,16,0,9,25,68,21,62,240,203,78,365,30,184,48,1230
511,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,6,0,0,6,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,18,6,5,6,3,6,8,57,4,3,16,16,4,19,3,14,4,76,10,25,28,168,43,622,23,257,18,1185,3,8,9,34,14,74,3,37,0,186,0,3,16,31,6,22,0,13,3,100,4,15,73,36,31,9,0,10,3,177,5,16,76,14,21,4,3,6,0,137,3,5,43,11,10,8,6,5,0,88,4,13,78,7,8,3,8,8,0,127,0,3,4,4,0,14,0,4,12,50,27,88,350,321,135,775,50,363,41,2144
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,17
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,7,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,8,0,0,9,0,0,0,0,3,0,10,0,0,8,0,0,0,0,3,0,13,0,0,8,0,0,0,0,4,0,13,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,0,37,6,0,4,0,16,5,70,4,6,24,26,4,14,0,17,0,98,7,178,39,359,45,86,19,205,16,952,3,20,38,58,11,23,17,61,10,236,3,11,38,21,4,11,4,15,0,110,0,7,177,13,0,3,5,12,0,211,3,0,264,10,0,0,0,6,0,284,0,0,75,3,0,0,3,3,0,88,0,3,58,6,0,0,3,9,0,79,0,10,16,6,3,10,0,17,33,90,32,238,726,492,74,147,56,340,54,2155
601,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,12,0,6,0,25,0,0,0,3,0,4,0,4,0,15,0,0,0,8,0,3,0,0,0,12,0,3,3,3,3,0,0,0,0,18,0,0,9,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,17,23,8,16,0,13,3,96,0,13,15,71,7,146,4,62,7,332,38,156,93,943,185,1792,78,831,41,4157,9,39,27,221,75,302,22,144,4,846,12,29,24,126,34,80,4,29,6,343,17,48,182,65,45,35,3,9,0,411,10,29,179,20,20,8,3,16,0,286,3,6,78,16,13,3,3,5,0,130,5,3,35,9,6,9,0,3,0,73,0,5,16,25,9,36,3,18,27,136,102,327,661,1501,396,2409,114,1121,94,6719
602,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,6,0,9,0,0,0,0,0,0,0,3,0,8,0,0,3,0,0,3,0,0,0,13,0,0,7,0,0,0,3,5,0,19,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,6,8,4,17,4,0,6,7,11,3,64,0,6,13,42,7,67,6,25,0,162,22,51,55,432,72,892,51,395,15,1981,3,16,18,104,19,180,12,77,0,430,5,18,25,57,14,64,5,25,0,208,10,32,127,16,15,24,9,12,0,233,6,16,93,13,8,12,0,6,3,154,11,9,36,3,6,3,0,5,0,77,3,9,12,10,3,4,0,5,0,45,3,0,9,10,0,30,3,15,17,81,61,154,382,684,145,1265,88,565,33,3372
603,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,8,0,6,0,4,0,26,0,0,7,57,10,78,4,48,3,208,0,0,0,7,0,12,0,12,0,32,0,3,0,4,0,7,0,3,0,19,0,0,8,0,3,3,0,5,0,17,3,0,10,0,0,0,0,0,0,13,3,0,3,0,0,0,0,0,0,10,0,0,3,0,0,0,0,3,0,6,0,0,0,8,0,3,0,0,3,11,10,7,40,82,15,103,7,77,7,353
604,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,8,0,0,3,15,0,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,4,10,3,3,12,6,3,15,5,7,10,65,4,4,9,23,3,47,3,27,4,121,13,17,30,187,33,752,21,337,10,1381,7,7,11,52,12,120,6,50,0,261,4,9,9,26,11,33,0,11,0,95,7,16,97,16,21,8,0,12,0,175,3,10,91,9,11,3,3,8,3,134,0,0,42,10,3,3,0,8,0,61,6,5,21,8,3,4,3,11,0,57,0,3,0,12,0,19,0,9,23,60,40,65,308,335,93,981,30,466,35,2356
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,5,19,0,0,0,10,0,0,0,5,0,11,3,9,3,44,5,21,3,23,0,114,0,3,4,13,0,0,0,4,0,23,0,0,0,3,0,0,0,3,0,8,3,0,29,0,0,0,0,3,0,35,3,0,25,0,0,0,0,0,0,36,3,0,12,0,0,0,0,0,0,16,0,0,10,0,0,0,0,0,0,11,0,0,0,3,0,4,0,0,5,17,15,16,83,70,9,30,5,41,9,274
