SA4_CODE_2016,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000mo_A_15_19,OIDNS_3000mo_A_20_24,OIDNS_3000mo_A_25_34,OIDNS_3000mo_A_35_44,OIDNS_3000mo_A_45_54,OIDNS_3000mo_A_55_64,OIDNS_3000mo_A_65_74,OIDNS_3000mo_A_75ov,OIDNS_3000mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54,Tot_150_299_A_55_64,Tot_150_299_A_65_74,Tot_150_299_A_75ov,Tot_150_299_Tot,Tot_300_399_A_15_19,Tot_300_399_A_20_24,Tot_300_399_A_25_34,Tot_300_399_A_35_44,Tot_300_399_A_45_54,Tot_300_399_A_55_64,Tot_300_399_A_65_74,Tot_300_399_A_75ov,Tot_300_399_Tot,Tot_400_499_A_15_19,Tot_400_499_A_20_24,Tot_400_499_A_25_34,Tot_400_499_A_35_44,Tot_400_499_A_45_54,Tot_400_499_A_55_64,Tot_400_499_A_65_74,Tot_400_499_A_75ov,Tot_400_499_Tot,Tot_500_649_A_15_19,Tot_500_649_A_20_24,Tot_500_649_A_25_34,Tot_500_649_A_35_44,Tot_500_649_A_45_54,Tot_500_649_A_55_64,Tot_500_649_A_65_74,Tot_500_649_A_75ov,Tot_500_649_Tot,Tot_650_799_A_15_19,Tot_650_799_A_20_24,Tot_650_799_A_25_34,Tot_650_799_A_35_44,Tot_650_799_A_45_54,Tot_650_799_A_55_64,Tot_650_799_A_65_74,Tot_650_799_A_75ov,Tot_650_799_Tot,Tot_800_999_A_15_19,Tot_800_999_A_20_24,Tot_800_999_A_25_34,Tot_800_999_A_35_44,Tot_800_999_A_45_54,Tot_800_999_A_55_64,Tot_800_999_A_65_74,Tot_800_999_A_75ov,Tot_800_999_Tot,Tot_1000_1249_A_15_19,Tot_1000_1249_A_20_24,Tot_1000_1249_A_25_34,Tot_1000_1249_A_35_44,Tot_1000_1249_A_45_54,Tot_1000_1249_A_55_64,Tot_1000_1249_A_65_74,Tot_1000_1249_A_75ov,Tot_1000_1249_Tot,Tot_1250_1499_A_15_19,Tot_1250_1499_A_20_24,Tot_1250_1499_A_25_34,Tot_1250_1499_A_35_44,Tot_1250_1499_A_45_54,Tot_1250_1499_A_55_64,Tot_1250_1499_A_65_74,Tot_1250_1499_A_75ov,Tot_1250_1499_Tot,Tot_1500_1749_A_15_19,Tot_1500_1749_A_20_24,Tot_1500_1749_A_25_34,Tot_1500_1749_A_35_44,Tot_1500_1749_A_45_54,Tot_1500_1749_A_55_64,Tot_1500_1749_A_65_74,Tot_1500_1749_A_75ov,Tot_1500_1749_Tot,Tot_1750_1999_A_15_19,Tot_1750_1999_A_20_24,Tot_1750_1999_A_25_34,Tot_1750_1999_A_35_44,Tot_1750_1999_A_45_54
101,23,19,17,3,11,99,0,17,15,24,29,20,0,0,109,0,15,33,11,25,24,6,0,118,0,7,30,30,30,25,7,3,135,0,3,22,10,22,20,0,0,76,0,3,13,13,15,7,6,0,56,0,3,17,9,11,8,3,0,49,0,0,3,17,14,11,5,0,44,0,0,4,7,16,4,5,4,37,12,13,23,27,27,29,15,11,160,70,116,191,200,248,233,93,61,1210,146,29,71,101,143,160,100,19,764,1989,150,169,172,221,257,95,22,3065,670,360,355,407,482,603,265,58,3199,426,432,456,556,699,774,360,69,3773,508,583,636,734,933,980,446,93,4910,476,1079,1246,1253,1646,1489,589,140,7915,279,1263,1810,1614,2086,1707,515,84,9360,147,992,2127,1880,2448,2054,488,75,10208,45,570,1994,1957,2326,1852,455,84,9275,9,248,1284,1329,1526,1183,265,52,5900,9,93,813,1140,1312,1011,209,42,4625,0,37,473,856,989
102,27,30,19,8,0,126,5,19,39,34,41,27,10,0,179,4,14,37,34,54,39,4,3,186,3,8,47,48,62,39,4,3,214,0,5,19,34,24,27,3,0,103,0,7,12,41,31,19,0,0,104,0,0,11,20,15,15,3,0,63,0,0,4,19,17,4,3,8,58,0,0,6,5,11,14,5,5,45,17,20,29,47,34,35,15,8,208,96,133,271,362,360,293,87,54,1670,167,39,91,144,147,118,27,6,742,3476,417,235,309,251,185,59,3,4946,1450,948,527,676,652,579,153,25,5017,742,984,767,902,961,840,291,55,5543,736,1098,1072,1069,1229,1126,365,58,6748,558,1661,1824,1918,2262,1947,587,62,10826,256,1855,2749,2481,2903,2222,540,39,13047,102,1424,3337,3024,3535,2649,479,35,14586,33,801,3064,2999,3425,2588,436,32,13381,6,263,2032,2127,2242,1460,267,20,8421,4,121,1491,1811,1991,1302,216,18,6952,0,37,786,1382,1520
103,18,22,15,15,5,110,4,18,24,27,16,31,8,5,134,7,11,33,31,38,23,14,3,155,0,10,26,28,32,18,15,3,119,0,4,13,27,22,10,0,0,78,0,0,13,16,25,23,5,3,86,0,0,7,12,8,7,4,3,42,0,0,12,21,32,10,3,3,86,0,0,0,10,12,7,0,3,40,19,17,36,45,30,16,17,18,192,107,95,203,282,290,216,126,94,1409,160,42,75,137,166,202,120,23,926,1901,223,179,173,184,215,87,27,2986,703,436,489,437,486,545,256,69,3423,484,486,598,582,682,716,402,112,4061,541,624,752,789,922,849,447,115,5039,469,1036,1350,1431,1610,1430,586,144,8044,294,1413,1968,1733,2019,1692,541,138,9807,127,1170,2323,2060,2481,1955,512,105,10725,34,764,2397,2179,2393,1897,487,98,10255,11,345,1680,1576,1734,1276,268,33,6923,3,165,1307,1521,1562,1218,217,54,6046,3,93,789,1261,1314
104,12,16,14,10,3,76,0,9,17,18,20,21,5,0,83,0,9,17,19,16,16,6,3,90,0,6,10,16,25,9,0,3,79,0,0,7,14,10,5,3,0,44,0,0,8,14,20,3,0,0,42,0,0,0,4,3,7,0,0,21,0,0,0,8,8,3,3,0,26,0,0,0,7,3,4,0,4,16,19,10,15,18,28,17,3,13,113,49,64,118,156,174,138,52,47,809,82,29,47,79,105,95,26,4,461,1460,68,92,98,141,145,34,7,2054,494,253,258,322,352,385,115,22,2199,313,332,367,401,515,602,193,48,2778,305,422,502,584,697,718,238,43,3501,252,661,930,962,1244,1191,317,58,5623,89,831,1335,1324,1651,1416,322,35,7006,36,513,1412,1492,1762,1506,265,37,7023,16,282,1071,1304,1611,1218,237,16,5754,4,110,721,888,1001,751,146,17,3651,3,36,478,694,843,679,90,13,2835,0,11,272,564,651
105,5,8,9,7,0,64,0,9,18,15,18,16,13,0,87,4,3,24,13,21,21,4,5,90,0,5,18,8,12,14,4,0,67,0,0,14,11,16,16,0,0,56,0,0,4,7,10,6,0,0,32,0,0,10,12,9,3,0,0,37,0,3,6,5,12,3,3,0,26,0,0,3,4,3,5,3,3,16,3,9,16,27,21,28,11,16,141,47,52,159,142,155,149,70,46,825,75,17,53,93,143,155,68,18,629,858,61,84,99,90,146,48,13,1398,332,177,230,241,278,289,135,43,1727,203,210,292,296,346,382,191,77,1993,276,311,407,397,495,483,225,81,2676,245,623,816,708,867,801,332,73,4463,145,753,1241,1003,1155,1027,332,44,5703,73,616,1421,1142,1378,1197,305,61,6193,30,461,1494,1148,1412,1105,272,66,5980,12,195,1029,828,901,694,147,34,3844,4,111,827,750,878,599,127,26,3305,3,58,510,647,666
106,24,23,24,4,3,117,3,20,30,29,22,15,8,6,132,0,14,41,38,37,24,3,3,160,0,12,38,33,51,29,12,0,168,0,4,25,32,34,25,0,0,121,0,0,26,45,34,21,9,0,133,0,0,20,30,23,14,0,0,87,0,0,21,44,45,18,3,0,135,0,0,4,8,20,13,3,0,55,10,21,28,38,46,23,9,5,178,95,124,276,353,368,246,85,56,1612,143,37,109,135,168,129,63,8,800,2853,227,187,258,246,182,67,14,4030,1057,617,533,605,600,526,196,45,4182,647,718,726,816,810,733,286,73,4811,547,852,933,943,1052,868,321,84,5601,595,1365,1612,1577,1817,1376,439,90,8880,388,1743,2277,2040,2209,1568,386,55,10671,153,1463,2917,2384,2602,1904,358,51,11833,79,1020,3131,2707,2738,1932,396,51,12042,23,475,2393,1985,1985,1352,212,30,8452,4,237,1961,2025,1876,1255,204,22,7593,0,141,1329,1628,1614
107,19,22,9,9,5,116,0,23,35,28,35,18,7,4,138,0,14,38,38,44,20,9,0,156,0,9,50,59,45,24,9,6,195,0,5,28,33,17,15,8,3,114,0,0,18,25,35,17,3,4,107,0,0,12,28,19,8,0,0,59,0,0,5,20,26,13,0,0,73,0,0,0,3,10,6,3,6,37,12,21,59,36,33,27,17,16,212,85,144,336,356,346,187,79,55,1592,150,64,97,116,121,76,26,6,664,3017,597,249,278,239,181,47,5,4622,1255,1265,703,589,627,477,114,13,5048,653,1151,825,861,801,702,204,32,5222,623,1229,1119,1009,1179,930,281,44,6412,514,1736,1824,1782,1901,1437,397,41,9626,234,1807,2427,2270,2415,1550,330,38,11072,78,1340,3047,2686,2801,1995,336,28,12320,25,890,3175,2932,3097,2112,334,37,12601,10,382,2293,2135,2204,1485,211,24,8742,8,173,1676,1995,2147,1427,184,22,7632,0,47,958,1641,1789
108,15,13,19,16,6,103,0,7,20,32,36,23,9,3,137,0,11,17,24,24,28,11,3,118,0,3,16,16,35,17,7,4,102,0,0,7,10,9,14,3,3,52,0,0,7,10,5,9,0,0,41,0,0,4,3,6,3,3,0,20,0,0,3,9,5,3,0,0,26,0,3,4,6,0,0,0,3,17,15,12,21,32,40,25,6,13,167,75,75,166,202,244,213,100,82,1162,122,28,63,87,126,163,56,8,660,2106,113,105,165,171,219,66,16,2966,637,302,344,382,532,632,228,48,3095,414,402,486,578,804,859,348,98,3992,413,532,601,755,1098,1095,433,74,5001,329,940,1193,1373,1860,1760,590,85,8127,139,1001,1746,1788,2389,1995,453,63,9582,49,711,1843,1936,2535,2079,409,71,9625,19,359,1510,1807,2165,1714,356,33,7959,6,174,985,1212,1341,1081,192,21,5009,4,50,623,909,1148,891,150,13,3786,0,26,359,758,943
109,11,16,13,13,14,87,0,14,11,6,18,7,10,3,81,3,9,18,17,34,13,9,0,103,0,3,9,16,18,24,5,0,79,0,0,12,12,9,11,9,0,48,0,0,4,14,15,9,3,0,49,0,0,0,10,11,7,0,0,26,0,0,6,7,8,9,0,0,34,0,0,0,0,7,0,0,0,6,12,13,21,19,22,21,12,5,123,50,77,110,139,176,145,78,43,810,85,22,50,93,104,117,51,15,539,1302,89,85,118,139,121,64,10,1930,436,328,258,230,293,346,153,39,2089,259,327,337,381,395,500,207,45,2450,311,423,486,426,575,610,253,42,3137,304,709,850,841,1026,1029,398,77,5236,138,857,1311,1090,1275,1143,335,57,6198,72,726,1598,1337,1670,1383,292,60,7136,14,402,1528,1387,1551,1311,261,36,6495,4,157,931,1041,1064,858,173,31,4257,5,46,602,764,957,665,93,13,3150,3,21,306,574,660
110,15,23,31,18,5,125,7,13,29,21,19,16,8,9,117,3,10,25,31,37,30,7,9,149,3,5,34,27,30,23,18,3,136,0,0,15,19,24,9,0,0,67,0,0,15,10,20,6,4,3,54,0,0,6,9,9,3,7,0,33,0,0,5,9,12,5,4,4,39,3,0,8,3,3,5,6,3,32,20,19,37,20,30,28,25,29,209,94,77,209,209,241,230,124,100,1284,122,35,83,145,226,261,124,26,1015,1707,148,147,184,205,206,92,18,2704,666,394,353,390,475,554,223,79,3140,419,412,509,556,639,684,375,136,3736,447,560,668,693,860,817,447,125,4612,422,970,1271,1224,1433,1385,589,150,7448,260,1286,2038,1710,2046,1643,502,99,9586,118,1045,2316,2058,2429,1947,504,93,10513,40,591,2187,2031,2242,1880,477,86,9536,12,253,1440,1294,1379,1093,250,42,5756,11,118,965,1165,1263,922,209,32,4678,6,56,556,866,960
