SA4_CODE_2016,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_Inc_LR_15_24,F_M1_Tram_Inc_LR_25_34,F_M1_Tram_Inc_LR_35_44,F_M1_Tram_Inc_LR_45_54,F_M1_Tram_Inc_LR_55_64,F_M1_Tram_Inc_LR_65_74,F_M1_Tram_Inc_LR_75ov,F_M1_Tram_Inc_LR_Tot,F_M1_Taxi_15_24,F_M1_Taxi_25_34,F_M1_Taxi_35_44,F_M1_Taxi_45_54,F_M1_Taxi_55_64,F_M1_Taxi_65_74,F_M1_Taxi_75ov,F_M1_Taxi_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
101,13,6,0,9,0,0,0,29,41,59,48,59,50,12,8,272,110,90,57,78,61,10,8,405,9,8,3,0,3,0,0,23,0,0,0,0,3,0,0,3,0,7,0,3,8,0,0,23,9,12,6,7,13,0,0,45,73,167,322,549,786,660,258,2824,713,416,446,560,625,264,45,3072,109,65,67,82,75,46,31,486,5577,6588,6816,8153,7320,2601,638,37702,13,9,6,3,3,0,0,41,58,24,21,13,20,4,0,137,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,17,12,11,10,8,3,0,49,2735,3633,4728,6133,4368,741,56,22397,842,321,219,331,251,70,7,2049,0,0,6,21,11,10,0,49,3,7,4,8,8,6,0,37,10,10,18,26,16,0,0,77,19,23,33,41,63,28,7,216,365,371,282,451,400,105,14,1991,4064,4417,5330,7034,5143,969,90,27050,6,0,0,0,0,0,0,10
102,35,9,9,3,5,0,0,60,71,82,64,77,57,11,0,355,162,154,149,130,106,18,0,715,15,17,12,16,13,7,0,70,4,0,3,0,3,0,0,7,4,3,6,7,0,0,0,14,23,18,15,19,15,7,0,92,73,193,498,627,601,385,84,2470,1134,568,514,640,675,243,41,3809,111,89,86,111,65,43,28,538,8115,9217,9552,10437,8251,2215,309,48103,79,87,69,50,56,8,0,343,282,125,100,127,117,15,0,770,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,12,7,3,9,5,3,0,39,5267,6737,8423,10039,6711,942,46,38171,1275,349,291,445,358,79,12,2803,0,7,5,4,3,0,0,19,3,10,6,10,8,0,0,28,10,9,18,33,12,0,0,74,8,22,26,48,39,15,0,157,226,180,162,242,213,54,6,1076,7155,7529,9100,11011,7510,1115,63,43488,37,33,18,32,15,6,0,141
103,4,8,14,6,0,0,0,46,34,78,57,51,43,24,7,303,36,96,75,72,55,26,7,370,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,10,3,3,3,6,4,9,0,36,7,10,6,10,6,9,0,43,80,195,366,593,786,666,277,2958,661,598,558,589,576,269,53,3300,123,82,83,103,81,58,29,563,5965,8319,8397,9151,7750,2749,731,43056,6,9,6,4,4,0,0,28,23,19,17,17,19,4,0,98,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,24,11,17,16,3,0,92,3423,5016,6004,6815,4625,819,90,26787,829,337,290,389,292,58,12,2212,0,0,9,8,11,14,6,50,5,0,4,3,12,4,0,34,10,12,11,19,13,0,0,58,8,27,27,30,38,22,3,154,305,263,270,384,364,112,26,1724,4633,5709,6648,7683,5394,1029,140,31240,4,0,0,3,0,0,0,8
104,12,8,0,0,3,0,0,16,42,38,33,30,35,7,0,189,46,51,28,34,38,12,0,215,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,4,3,0,3,0,0,17,3,4,8,3,3,0,0,19,23,68,216,295,406,246,85,1339,439,249,279,301,409,131,15,1827,68,39,40,49,50,24,26,291,3314,4016,4636,5349,4898,1320,242,23774,0,0,0,3,0,0,0,4,32,10,19,15,19,4,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,7,4,3,6,0,29,1915,2669,3689,4634,3409,473,35,16820,575,247,191,275,259,42,5,1598,0,0,3,3,9,0,0,13,7,8,4,4,11,0,0,34,14,15,21,42,27,0,0,119,7,15,22,27,30,9,0,112,140,128,136,217,214,36,6,878,2709,3098,4088,5221,3971,571,43,19701,0,0,0,0,0,0,0,0
105,5,4,5,0,0,0,0,13,29,37,31,48,29,9,4,184,28,44,36,49,27,10,4,207,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,7,4,6,3,11,0,32,0,9,9,12,3,11,0,39,69,128,234,396,478,325,170,1791,282,341,262,293,357,129,30,1693,67,51,49,60,65,34,24,349,3050,4703,4334,5007,4494,1597,443,23632,3,0,6,0,0,0,0,6,17,9,17,14,11,4,0,75,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,7,8,8,10,4,0,43,1702,3079,3073,3591,2640,452,50,14596,488,261,195,235,184,36,9,1416,0,0,0,3,10,3,3,24,9,4,7,12,9,5,7,56,8,3,16,8,10,0,0,51,12,18,24,34,36,15,4,142,185,259,214,312,271,85,14,1339,2440,3646,3553,4222,3181,620,89,17750,0,0,0,0,0,0,0,0
106,9,7,7,4,5,0,0,29,84,152,129,92,57,11,0,539,102,170,172,120,74,21,0,655,6,10,0,3,3,0,0,20,0,0,0,0,0,0,0,3,0,5,3,3,4,0,0,13,7,12,3,10,7,0,0,33,79,138,240,397,513,414,152,1930,1015,956,992,935,890,224,39,5053,105,91,100,108,91,27,24,546,8129,11862,11701,11720,8646,2122,426,54612,10,24,9,14,8,0,0,59,89,28,18,39,27,5,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,10,11,3,0,41,4536,6408,7282,7658,4595,638,47,31166,1090,330,250,347,229,66,4,2318,0,4,6,6,0,4,0,24,22,7,7,12,3,0,0,54,13,4,8,11,13,0,0,47,14,30,37,38,29,15,0,165,198,180,189,274,248,74,14,1186,5984,7023,7807,8404,5172,804,74,35264,5,5,4,0,0,0,0,20
107,27,26,11,9,11,0,0,87,86,75,60,65,27,10,0,322,171,155,119,118,71,17,0,647,17,11,10,6,3,3,0,56,0,3,4,0,0,0,0,10,3,3,4,9,0,0,0,21,24,16,23,14,3,4,0,87,48,175,308,402,391,237,46,1612,1128,654,602,715,699,204,32,4033,119,87,83,96,49,34,17,492,8351,9782,10231,10937,7990,1740,250,49280,96,86,64,60,39,4,0,349,362,199,121,176,111,15,0,988,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,16,6,14,13,5,0,69,4984,6811,8303,9117,5546,648,34,35448,1216,437,381,452,421,88,3,3007,0,0,3,9,6,0,0,17,4,14,13,12,5,0,0,50,19,19,34,33,18,0,0,130,10,30,38,30,34,4,0,144,459,341,293,308,223,50,7,1665,7170,7953,9251,10207,6418,820,48,41865,21,24,12,15,15,3,0,89
108,10,6,0,3,0,0,0,21,28,60,54,66,36,19,0,257,38,67,56,71,40,18,0,290,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,12,0,4,5,4,3,0,0,18,57,77,243,427,563,468,166,2001,632,372,376,450,589,217,33,2671,112,68,70,92,97,46,29,505,4479,5295,6261,7668,6933,2097,413,33144,3,4,3,3,3,0,0,12,50,22,17,25,10,4,0,123,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,3,16,5,9,8,3,0,48,2467,3565,5018,6623,5084,758,43,23560,768,234,241,353,350,66,7,2017,0,3,3,13,4,9,0,29,10,5,3,17,6,3,0,45,10,15,23,20,10,0,0,82,9,17,28,37,37,22,6,144,187,168,208,323,303,76,14,1276,3507,4050,5555,7416,5827,932,69,27352,0,0,0,0,0,0,0,4
109,9,0,3,7,4,0,0,17,26,31,35,38,29,9,0,170,36,35,43,43,34,9,0,199,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,13,4,4,0,3,7,0,0,22,62,122,227,357,497,315,120,1699,404,263,245,318,377,163,28,1803,61,42,45,50,52,35,22,307,3533,4486,4597,5360,4940,1606,346,24865,0,3,3,0,0,0,0,9,29,15,20,24,8,3,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,7,8,0,0,0,24,2119,3005,3418,4169,3088,513,41,16353,483,202,140,175,130,42,4,1180,0,0,3,3,3,3,3,11,0,3,0,3,0,0,3,16,5,13,20,31,22,3,0,94,9,6,23,24,33,15,4,113,185,171,158,233,270,63,13,1095,2842,3435,3792,4672,3565,635,67,19006,0,0,0,0,0,0,0,0
110,15,15,8,16,6,0,0,59,40,59,44,62,53,23,5,281,59,73,61,81,60,23,5,353,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,5,3,4,3,3,0,24,0,11,5,6,3,3,0,32,89,178,395,647,827,702,293,3123,538,408,391,415,493,245,53,2547,111,79,79,80,78,60,39,525,5287,7088,7050,8078,7163,2624,716,38005,3,3,3,0,0,0,0,14,45,12,24,22,22,0,0,124,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,12,15,11,12,3,0,59,2878,4451,5105,5870,4231,741,69,23342,742,355,272,351,266,57,8,2058,3,6,0,12,15,19,8,65,6,10,3,9,15,0,3,50,8,12,11,22,7,0,0,67,13,24,29,46,35,32,7,186,260,276,235,346,352,102,29,1604,3968,5168,5702,6689,4956,961,125,27569,0,3,0,0,0,0,0,3
