SA4_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
101,18,14,3,0,4,0,0,41,0,3,0,0,3,0,0,7,5,7,5,4,14,0,0,33,26,16,9,9,13,0,0,76,133,453,916,1287,1571,1159,391,5911,1636,1268,1190,1423,1601,552,72,7738,205,128,153,159,158,86,52,938,10815,12254,13603,16912,14340,4399,910,73243
102,33,29,17,25,18,8,0,136,10,8,3,0,4,0,0,26,4,3,6,6,0,0,0,20,49,36,28,35,22,6,0,176,175,728,1632,1652,1389,674,117,6364,2988,2197,1966,2001,2018,564,71,11794,234,169,188,239,160,84,42,1121,17531,19123,21425,24111,18085,4010,445,104732
103,0,0,4,5,0,0,0,11,3,3,0,0,0,0,0,11,3,5,7,12,8,9,0,46,11,9,8,17,11,7,0,73,138,531,984,1241,1488,1171,435,5984,1719,1777,1432,1475,1452,515,90,8461,236,146,164,192,154,104,73,1066,11866,15658,16658,18512,14820,4586,1097,83199
104,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,3,4,7,0,3,0,0,14,3,4,11,3,3,0,0,22,50,241,588,725,858,434,136,3028,1049,846,820,931,1137,278,23,5089,128,77,86,112,87,46,40,564,6753,7943,9706,11729,10103,2243,363,48844
105,0,3,7,0,0,0,0,10,0,0,0,3,0,0,0,5,0,6,4,13,3,15,0,39,3,7,8,16,4,15,0,52,109,324,494,744,893,549,255,3372,742,1030,684,704,773,248,49,4226,117,93,90,114,117,59,53,637,6064,9307,8623,10064,8572,2593,666,45892
106,6,6,0,4,3,0,0,27,6,0,0,0,0,0,0,7,0,4,9,4,4,0,0,20,13,19,6,13,6,0,0,59,136,561,911,1123,1116,751,232,4837,2485,2522,2252,2017,1826,440,61,11603,203,164,176,220,159,60,52,1030,15821,21012,21564,22098,15463,3514,628,100101
107,29,23,19,13,4,3,0,96,3,8,4,5,3,0,0,20,3,8,6,8,0,0,0,23,39,31,32,29,7,6,0,146,127,583,1109,1051,826,427,76,4196,2887,2276,2032,1888,1779,427,51,11344,219,144,141,184,116,62,44,914,17612,19950,21860,23160,16060,3005,378,102028
108,0,5,0,3,0,0,0,9,0,0,0,3,0,0,0,3,3,5,7,0,0,0,0,21,5,5,11,9,3,0,0,35,101,318,730,1017,1144,834,248,4396,1597,1189,1174,1400,1599,459,60,7475,199,111,152,199,179,86,69,989,9123,10477,13213,16771,14471,3677,628,68360
109,0,0,0,5,0,0,0,9,3,0,0,0,0,0,0,3,0,3,0,9,9,0,0,19,3,6,4,10,9,0,0,26,95,298,568,760,925,523,190,3348,1120,955,771,859,932,324,52,5009,127,73,97,101,102,69,31,600,7232,8840,9329,11044,9561,2634,514,49146
110,0,4,4,4,0,0,0,10,0,0,3,3,0,0,0,3,3,5,3,4,9,6,0,30,3,9,8,9,9,6,0,46,173,495,960,1337,1634,1278,449,6330,1463,1334,1082,1121,1243,448,84,6777,202,136,160,172,176,110,68,1028,10405,13595,14114,16291,13787,4435,1070,73688
