SA4_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
122,317,91,23,4102,3090,151,454,139,20,3856,3061,243,469,114,42,3930,3727,315,571,93,49,4750,5594,547,883,126,71,7225,7067,735,916,81,75,8869,8407,967,1023,96,86,10576,9020,1179,1054,94,77,11421,6158,1087,853,62,48,8217,4912,1293,681,58,40,6979,3308,769,442,40,31,4590,4516,1507,673,59,30,6790,2393,1822,511,87,28,4846,989,152,134,30,75,1379,66096,10930,9061,1440,708,88233
123,178,98,33,3370,2902,120,304,102,44,3469,3103,175,355,111,59,3810,3502,239,432,79,76,4335,5727,432,611,81,93,6943,8070,493,612,67,116,9359,9382,661,672,57,102,10871,9264,828,569,46,84,10786,6050,613,367,19,56,7100,4741,632,254,16,35,5678,3528,354,174,13,23,4089,4119,540,208,13,29,4909,1308,499,183,23,24,2035,1076,82,72,22,78,1338,66069,5742,5034,940,870,78655
124,237,95,35,4328,3787,127,502,132,43,4587,3890,226,591,145,72,4922,4928,252,633,113,72,6003,7839,468,926,106,95,9441,9889,607,914,97,115,11631,11904,805,955,81,118,13860,11681,1032,878,59,83,13729,7962,756,600,38,65,9426,6457,706,467,26,29,7689,4708,459,278,18,19,5478,5142,702,336,20,14,6226,1506,611,331,23,17,2488,1317,134,150,35,86,1716,85262,6976,7889,1244,899,102264
125,241,104,56,4355,5433,213,528,181,108,6459,6295,366,741,193,122,7730,7524,503,886,155,148,9209,12509,943,1237,220,208,15113,19742,1237,1116,134,242,22467,26466,1527,1197,129,261,29583,29815,1791,1147,95,224,33074,21197,1282,652,54,134,23307,17255,1265,527,39,88,19170,12890,693,313,24,71,13988,18353,1210,448,26,68,20111,7443,1370,409,29,53,9305,2527,207,172,49,217,3179,192017,12808,9719,1770,2047,218360
126,164,76,27,2787,3037,104,268,63,29,3496,2800,169,295,76,30,3367,3252,186,364,77,44,3922,4729,326,465,76,46,5633,6130,403,465,57,57,7102,8078,509,480,60,56,9176,10291,659,517,49,63,11588,8452,518,342,22,50,9389,8096,548,238,28,25,8932,6886,343,203,21,18,7472,13666,634,300,25,35,14665,9030,857,276,30,37,10228,1037,95,69,23,64,1292,88232,5462,4480,834,597,99607
127,168,118,63,3577,4641,161,416,163,82,5473,4805,338,573,146,108,5972,5390,401,716,150,128,6780,8805,739,964,147,178,10830,12410,956,1011,100,172,14651,15386,1191,982,95,200,17853,15107,1412,926,81,167,17700,10450,969,513,45,86,12067,8031,888,392,32,59,9407,5745,525,218,19,42,6541,6272,781,271,19,50,7383,2025,824,270,26,35,3173,1600,159,127,44,133,2069,104308,9485,7632,1539,1521,124482
128,210,67,35,3828,3063,95,278,92,28,3550,2871,157,364,92,40,3528,3390,169,375,66,47,4048,4910,384,568,76,47,5982,5885,551,596,65,64,7161,6622,678,655,59,60,8076,6556,869,707,61,69,8265,4434,654,432,30,30,5576,3572,806,422,25,38,4866,2580,493,244,14,20,3352,3130,812,355,27,24,4347,1089,864,295,29,14,2296,790,114,78,25,53,1063,52554,6737,5613,893,587,66381
197,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,9,0,3,0,0,12,8,0,0,0,0,10,6,3,3,0,0,14,4,0,0,0,0,4,8,0,0,0,0,9,4,0,0,0,0,4,12,0,0,0,0,11,11,0,0,0,0,16,0,0,0,0,0,0,61,7,16,0,3,86
199,939,174,77,3845,3826,260,2162,179,154,6585,4681,498,2945,203,187,8519,6261,639,3501,165,235,10804,8915,1278,4793,200,288,15471,9330,1717,4905,143,291,16390,10725,2314,5589,137,315,19084,10879,2898,5773,99,312,19957,6948,2053,3893,51,143,13081,5261,1907,2729,65,108,10074,3117,1043,1488,20,64,5734,3772,1212,1563,44,74,6656,1314,814,718,44,48,2935,1529,372,690,71,255,2919,79636,17188,41954,1997,2587,143365
201,157,140,57,2732,2389,110,335,179,53,3069,2490,163,408,161,65,3280,3193,201,450,118,71,4037,5012,341,574,133,88,6140,6310,425,564,112,99,7511,7166,442,546,84,77,8309,6707,478,468,69,81,7806,4281,381,238,36,44,4980,3309,334,183,19,31,3880,2138,184,128,26,20,2499,2207,326,172,25,15,2739,694,378,190,44,17,1320,740,62,78,42,66,982,49149,3900,4570,1462,787,59866
202,163,121,54,2757,2090,99,353,167,44,2756,2351,146,436,147,57,3136,3032,154,456,121,68,3828,5082,313,603,127,81,6213,6777,359,588,120,101,7943,7348,472,571,82,92,8564,6575,470,542,45,71,7700,4523,394,308,30,30,5287,3343,374,261,25,29,4022,2093,186,140,18,21,2454,2359,328,158,22,15,2892,711,385,172,17,15,1301,770,54,97,69,50,1039,49598,3776,4919,1358,747,60402
203,266,144,73,5233,4393,173,489,172,67,5290,4563,268,623,195,80,5727,5580,281,634,136,81,6710,8608,542,858,158,102,10264,10403,597,883,133,126,12133,11953,776,856,117,133,13840,12009,878,896,89,85,13955,8129,734,574,69,57,9563,6492,740,468,45,49,7798,4400,421,244,22,31,5111,5022,673,356,45,33,6131,1773,865,356,61,19,3076,1382,136,131,61,101,1811,89726,7213,7711,1758,1061,107466
204,197,178,51,2859,2085,112,420,286,65,2976,2464,231,519,280,73,3563,3312,250,630,208,86,4482,5480,409,854,257,115,7123,7207,547,734,140,122,8758,8195,561,824,146,124,9849,7666,617,701,120,104,9215,5181,415,443,86,39,6160,3657,424,341,49,53,4527,2415,199,202,30,35,2884,2192,331,251,36,25,2839,610,343,230,44,16,1241,932,81,143,88,77,1323,53996,4596,6598,2322,1004,68527
