SA3_CODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
10102,11,0,0,341,244,15,19,9,0,280,264,17,17,3,3,307,294,25,18,3,0,348,320,41,51,10,3,426,305,38,49,4,4,404,234,26,26,13,3,308,148,14,22,14,0,195,35,11,18,11,4,76,8,5,3,3,3,21,3,0,3,0,0,11,2495,191,242,71,27,3032,409,0,3,4,0,417,230,0,7,0,0,236,187,4,10,3,0,201,183,15,26,3,3,221,194,21,26,13,0,245,257,21,34,12,4,319,232,31,30,17,5,313,218,23,28,8,0,277,221,12,35,12,0,280,150,15,34,11,0,213,61,8,21,18,0,103,22,5,10,14,0,53,4,3,4,14,0,23,2357,151,265,122,12,2907,219,9,12,5,4,250,73,6,3,3,15,96,5145,355,527,196,61,6287,245,3,0,0,7,254,798,13,19,3,7,837,1084,52,45,4,3,1179,925,88,58,11,5,1093,828,115,69,4
10103,12,3,0,290,174,14,9,0,0,199,124,12,20,6,0,166,194,21,31,5,0,253,215,35,37,15,0,293,241,41,29,11,3,328,160,19,35,9,3,222,72,16,26,5,3,127,34,12,11,10,0,72,5,4,10,6,0,34,3,0,3,3,0,16,1916,179,235,81,15,2430,204,0,0,0,3,210,176,0,3,0,0,183,143,0,6,4,0,151,143,3,3,3,4,151,154,10,16,7,0,188,147,15,22,4,0,185,176,13,14,8,0,210,173,9,22,7,0,204,159,8,17,8,0,191,108,10,21,7,3,147,58,7,13,9,4,91,22,0,8,14,0,45,10,0,8,3,5,16,1674,77,141,77,23,1983,125,6,10,10,8,155,68,3,16,12,8,104,3784,259,399,180,51,4675,232,0,0,0,0,230,723,4,8,3,3,751,673,9,21,11,6,716,447,24,48,4,3,528,341,41,50,12
10104,17,4,7,347,290,18,25,3,0,327,308,17,38,13,6,376,451,53,65,6,3,581,586,48,85,15,6,740,599,56,86,22,10,776,548,44,94,17,10,705,285,24,55,9,9,386,57,19,20,11,3,117,5,6,15,9,0,31,10,0,5,3,0,17,3866,299,509,113,50,4836,638,0,3,3,10,652,332,0,7,0,5,345,320,3,13,11,3,352,435,12,27,9,3,480,487,25,56,20,0,596,535,27,62,23,7,660,607,26,75,21,10,735,755,32,82,18,6,904,773,46,86,26,8,950,550,32,101,44,8,728,193,24,54,17,0,291,42,14,31,16,0,99,16,0,13,0,0,27,5686,249,604,214,66,6812,497,22,52,17,8,599,144,5,17,19,38,230,10193,586,1180,365,160,12482,309,0,3,0,6,322,706,11,41,4,4,760,773,17,56,4,7,862,817,55,105,3,3,982,804,97,128,21
10105,6,0,0,303,244,0,8,0,3,265,236,17,14,5,0,275,307,14,28,4,3,357,359,20,29,3,4,414,357,18,44,22,3,447,279,22,26,16,0,347,172,12,18,15,0,222,39,9,12,18,0,77,6,3,8,12,0,27,9,0,3,5,0,19,2601,121,210,98,21,3050,321,0,0,0,9,327,218,0,3,0,3,228,211,3,8,4,0,230,273,14,18,10,0,306,241,4,22,5,0,281,261,10,30,9,4,312,278,13,17,5,3,320,328,9,14,9,0,366,276,9,24,8,4,322,194,3,26,12,7,242,78,7,23,17,0,124,29,10,5,12,3,54,9,0,6,8,0,24,2719,88,198,107,33,3136,255,3,20,3,8,287,77,3,5,12,13,114,5659,217,426,217,80,6592,227,0,0,0,5,228,637,6,13,3,0,657,694,30,38,3,3,769,633,33,52,6,6,737,646,61,57,8
10106,13,3,0,229,153,6,12,0,0,172,151,26,17,12,0,212,171,20,33,15,3,247,238,29,37,14,4,323,218,20,33,12,4,288,177,21,33,19,3,257,92,17,27,24,3,168,26,8,29,21,0,80,0,0,17,14,0,35,0,0,6,23,0,27,1720,160,267,159,28,2335,265,0,0,3,4,282,202,0,4,8,0,217,120,4,14,4,3,145,169,16,16,6,0,210,218,12,29,15,3,281,228,7,39,18,0,294,243,12,38,16,9,320,246,13,28,21,3,314,250,16,29,11,4,315,149,13,31,22,3,220,84,4,27,24,0,142,15,4,24,22,0,62,6,0,11,18,0,35,2196,111,303,199,35,2841,153,7,38,17,7,224,63,3,13,14,10,112,4139,281,619,382,85,5507,212,0,0,3,3,221,503,9,29,9,3,542,503,20,34,8,0,562,440,53,47,13,0,547,425,79,68,22
10201,45,3,6,1477,989,55,61,7,4,1113,985,60,87,21,4,1164,1338,116,121,16,10,1593,1601,139,145,22,16,1913,1527,121,128,24,16,1818,1409,103,92,13,14,1635,730,51,51,10,3,850,163,27,21,8,3,218,27,11,16,4,0,52,6,3,0,3,0,16,11632,703,778,129,83,13324,1881,5,10,6,23,1931,1365,3,38,7,3,1416,905,18,55,14,8,1007,1198,39,134,23,6,1404,1354,81,194,34,11,1669,1570,107,210,43,9,1945,1615,118,224,45,17,2011,1556,88,147,30,17,1836,1505,78,165,39,21,1800,1002,58,121,30,14,1227,409,62,67,29,10,569,110,24,32,11,0,178,25,12,8,5,0,56,14494,688,1403,322,144,17051,1214,39,62,22,25,1365,359,20,33,25,58,483,27703,1450,2276,491,304,32229,724,4,4,0,7,743,2579,13,56,3,15,2677,3065,92,167,12,16,3354,2734,218,214,15,19,3200,2546,321,270,33
10202,38,0,7,1132,834,43,34,5,3,919,780,63,50,7,8,905,1073,86,89,12,8,1270,1230,105,93,12,13,1440,1186,84,84,15,12,1376,973,64,61,22,9,1121,468,33,35,14,0,553,87,22,11,3,0,129,17,4,6,3,0,30,0,4,0,0,0,5,8836,527,514,101,64,10036,1630,0,4,3,18,1660,1190,0,18,10,13,1229,787,9,56,13,10,874,1008,45,83,26,8,1167,1101,58,109,23,4,1296,1204,56,130,20,7,1423,1158,64,91,30,13,1356,1153,48,98,23,6,1333,1020,53,96,29,13,1213,700,41,89,31,3,858,243,31,46,14,7,335,84,18,15,12,3,134,21,3,5,6,0,30,11292,426,841,239,111,12903,966,25,40,12,22,1065,300,10,19,22,46,397,21395,980,1410,370,240,24406,676,3,0,0,5,685,2059,24,61,4,18,2171,2426,81,146,6,15,2671,2241,210,152,12,11,2627,2093,230,209,16
10301,9,0,3,485,345,25,5,0,0,378,359,24,41,8,0,428,479,24,30,9,4,547,552,50,35,14,3,648,522,31,45,18,10,617,452,29,38,13,6,539,251,17,22,14,0,308,55,6,31,16,3,113,11,4,6,8,0,32,4,0,4,3,0,14,3950,210,277,96,34,4570,542,0,0,3,4,545,518,3,10,6,9,540,330,5,10,8,0,349,382,10,26,3,3,431,359,13,39,10,0,427,424,12,39,9,4,489,372,26,30,8,5,434,345,19,27,17,7,406,345,21,43,14,3,423,252,13,34,8,0,310,103,15,33,16,3,165,38,8,24,10,4,80,6,0,7,4,3,30,4012,145,315,116,43,4624,415,11,10,13,13,457,146,0,15,14,23,190,8518,364,613,230,109,9844,281,0,0,3,0,287,940,12,21,3,11,983,1189,38,61,3,12,1305,1003,100,61,0,8,1168,982,87,112,13
10302,12,3,4,382,294,7,39,7,0,355,313,16,37,11,3,386,392,22,59,23,11,501,455,39,75,28,12,612,452,40,86,27,5,614,350,18,89,38,8,503,207,21,77,38,5,352,60,6,52,28,4,158,5,5,20,22,3,55,10,0,22,19,3,48,3404,197,584,253,62,4504,424,0,3,4,3,437,282,3,8,4,0,297,281,7,15,10,3,315,389,18,29,22,8,465,356,11,53,17,0,441,430,22,49,16,7,526,411,16,40,19,3,498,437,18,61,17,8,533,384,16,57,16,3,478,277,24,68,38,5,411,110,9,39,23,0,184,43,0,27,17,3,91,14,5,26,22,0,73,3843,150,469,227,51,4736,397,16,49,25,9,500,143,5,16,37,40,239,7790,368,1118,543,158,9973,341,4,3,3,9,363,1071,13,45,11,12,1144,1008,29,71,22,10,1139,907,72,141,34,9,1161,893,101,179,33
10303,14,0,0,315,208,3,21,3,0,247,232,18,35,0,3,289,336,26,50,8,9,425,371,39,29,3,6,453,355,39,46,18,4,464,329,33,36,11,3,403,151,19,28,22,0,220,40,5,15,16,0,81,7,7,4,10,0,28,7,3,12,9,3,35,2676,205,300,108,31,3320,332,0,7,8,5,345,237,0,6,3,4,249,245,3,13,7,3,273,331,16,36,15,3,395,322,14,33,7,4,388,414,23,35,9,3,475,447,20,34,13,8,518,416,12,45,16,4,496,381,20,33,15,6,459,221,11,31,21,10,295,89,12,27,17,8,149,37,4,21,17,0,79,5,0,12,8,0,30,3477,130,326,155,55,4154,313,14,28,10,6,366,105,4,9,10,19,157,6569,350,667,290,116,7992,286,3,0,0,0,292,801,10,20,8,12,841,978,31,35,3,9,1059,936,31,58,10,8,1045,857,60,82,4
