SA3_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
10102,176,26,3,881,0,11,209,361,409,214,38,9,1255,3,0,38,139,206,103,37,10,537,32,17,36,35,49,36,26,3,224,1049,1360,3120,3003,3237,2328,706,138,14949
10103,93,17,4,384,0,0,59,119,134,88,11,7,419,0,3,21,50,72,49,8,4,212,24,17,24,33,26,34,16,7,184,636,1145,1812,1642,2074,1640,579,129,9660
10104,239,40,4,887,0,4,81,203,293,238,44,9,872,0,3,25,81,120,120,40,7,401,39,36,52,69,81,111,30,9,433,1526,1467,3222,4337,6027,5764,1424,210,23971
10105,176,19,3,718,3,15,106,178,260,173,51,5,788,5,0,19,66,88,68,32,22,298,18,21,27,44,59,45,18,11,244,875,1079,2393,2525,3074,2471,788,179,13372
10106,106,42,0,442,0,4,66,140,149,108,37,19,527,3,5,19,56,108,69,41,24,319,18,17,43,31,41,35,32,11,223,749,925,1712,2105,2501,2138,908,251,11285
10201,646,78,5,2902,0,15,384,945,1048,697,125,16,3235,0,10,97,366,508,373,108,25,1496,86,85,149,170,226,162,56,14,952,4099,5362,10540,11943,13672,10467,2418,282,58776
10202,397,41,4,2002,4,8,307,694,724,434,69,4,2240,5,13,89,285,317,217,56,9,984,67,63,117,122,162,132,45,8,721,3601,4475,8586,9484,10445,7616,1586,166,45957
10301,234,40,5,1134,0,7,167,345,412,273,43,3,1250,0,0,42,89,127,124,41,8,438,34,34,47,56,71,49,16,9,314,1260,1992,3777,3837,4221,3357,998,174,19613
10302,182,61,7,886,0,11,203,300,334,226,44,11,1123,0,3,39,111,164,131,57,20,527,29,29,72,69,78,67,58,30,437,1184,1715,3582,3948,4691,4125,1434,449,21121
10303,195,21,7,982,0,38,426,519,498,269,31,7,1800,3,12,147,199,234,143,38,7,790,24,22,44,59,68,58,20,14,311,950,1295,3195,3471,4147,3188,916,212,17373
10304,287,41,9,1552,0,21,425,681,613,337,57,5,2138,0,8,77,267,270,166,58,20,861,37,30,59,86,84,69,32,17,412,1472,2003,5109,5392,5460,4150,1236,262,25090
10401,177,21,4,700,0,5,87,207,224,165,20,6,718,0,3,39,74,91,81,29,7,319,21,15,33,59,58,58,14,12,269,1010,1125,2320,3176,3984,3599,838,181,16229
10402,344,37,3,1381,0,7,167,424,486,324,57,6,1469,0,3,49,154,187,153,57,4,616,44,45,73,67,118,99,26,12,493,2110,2506,5621,6530,7748,6508,1413,186,32611
10501,113,25,4,541,0,20,229,215,200,112,32,10,823,0,4,48,106,117,72,30,11,378,7,22,34,39,57,52,39,19,268,306,702,2030,1768,2180,1816,640,189,9636
10502,126,15,0,523,0,8,141,153,196,161,21,0,678,0,0,23,43,54,54,10,4,196,11,19,20,35,43,48,15,6,206,402,658,1601,1421,1722,1618,365,64,7862
10503,313,60,16,1506,0,14,237,428,498,357,48,12,1593,8,3,73,149,187,164,60,19,666,41,46,91,104,116,115,66,36,606,1610,2376,5674,5434,6164,5138,1591,413,28401
