SA3_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
10102,50,72,4,10,138,9631,4566,477,271,14949
10103,63,48,9,14,129,6074,3068,295,224,9660
10104,67,112,15,19,210,12217,10251,1006,500,23971
10105,71,80,7,17,179,8104,4510,491,267,13372
10106,115,112,8,14,251,6518,4122,386,264,11285
10201,79,160,15,22,282,32044,23585,2091,1053,58776
10202,41,102,10,18,166,25290,18162,1641,857,45957
10301,56,92,12,12,174,11953,6523,743,395,19613
10302,191,185,23,46,449,13124,6637,810,555,21121
10303,88,100,6,18,212,10595,5760,666,351,17373
10304,100,123,11,29,262,16015,7655,960,450,25090
10401,63,97,8,19,181,8809,6428,645,349,16229
10402,52,95,3,31,186,17486,13360,1159,607,32611
10501,98,69,12,13,189,6624,2348,380,293,9636
10502,25,23,7,16,64,5016,2291,352,200,7862
10503,179,182,19,32,413,18450,8352,997,599,28401
10601,80,107,8,20,219,20044,10601,1236,640,32521
10602,29,54,3,14,111,15164,9926,899,447,26438
10603,42,93,5,10,151,16443,8756,942,471,26611
10604,63,71,9,15,151,9579,4065,581,309,14535
10701,23,37,8,19,85,17580,8509,950,469,27505
10702,0,0,0,0,0,48,13,3,5,63
10703,32,61,7,10,105,11550,10053,831,366,22804
10704,44,102,7,24,180,28121,20763,1940,839,51659
10801,34,37,3,12,85,4457,3961,364,217,8994
10802,66,63,15,17,159,7796,6025,625,418,14864
10803,0,3,0,0,7,116,74,24,9,216
10804,56,111,9,17,187,15285,10691,1002,537,27511
10805,60,83,18,27,185,8796,6777,798,398,16770
10901,59,100,19,20,193,16274,10165,1113,502,28059
10902,32,31,3,6,70,3300,1473,201,150,5128
10903,100,111,22,19,249,9575,5290,714,375,15957
11001,100,99,15,12,227,9130,5564,567,297,15561
11002,143,124,24,38,318,7803,4651,513,373,13344
11003,73,45,21,14,160,7365,2923,451,287,11022
11004,157,159,19,36,363,21488,10369,1206,709,33764
11101,40,89,5,15,151,21728,16313,1423,604,40066
11102,12,58,4,6,86,9843,6780,672,301,17597
11103,74,208,15,38,332,60033,32703,3681,1501,97925
11201,84,126,8,33,254,14392,13081,924,598,28993
11202,123,124,12,44,301,15886,11168,955,614,28625
11203,69,128,10,19,225,14489,12119,940,614,28163
11301,86,112,17,27,244,13805,6082,805,514,21208
11302,43,42,4,8,93,3684,1838,232,154,5902
11303,150,186,17,41,389,25946,12682,1424,836,40886
11401,49,119,12,31,204,18307,13297,1298,713,33614
11402,79,151,11,16,257,9917,7204,526,295,17950
11501,36,158,8,9,210,33986,19097,1411,934,55429
11502,39,72,10,8,128,5641,4032,269,181,10127
11503,26,34,0,4,63,2343,1558,127,83,4114
11504,14,30,4,3,49,6033,4281,274,220,10804
11601,36,74,10,10,132,30381,13887,1250,1037,46554
11602,14,26,0,3,37,8590,5533,389,292,14801
11603,15,37,7,12,72,31601,11103,1156,1174,45040
11701,44,79,9,18,156,40996,14878,2211,1225,59315
11702,34,62,5,9,109,15273,7759,550,473,24057
11703,439,714,68,94,1312,371873,100463,14385,8258,494980
11801,137,375,20,23,556,28821,19369,1269,907,50369
11802,58,148,14,16,237,24278,15046,1322,849,41500
11901,73,121,17,8,215,38227,18296,1594,1557,59670
11902,54,74,10,3,137,16864,10087,740,782,28474
11903,42,119,3,0,162,14728,11302,798,601,27424
11904,44,111,10,6,172,19647,11724,1000,684,33062
12001,41,85,6,4,143,21633,10154,963,710,33463
12002,40,84,3,6,139,12840,7354,572,373,21143
12003,82,179,10,20,293,32326,17758,1448,1090,52624
12101,102,261,18,28,412,53719,22499,2120,1306,79642
12102,41,101,8,4,164,15295,10425,842,421,26979
12103,57,327,14,17,415,15429,13501,881,469,30282
12104,115,276,22,22,437,55439,18087,1978,1223,76727
12201,35,91,9,7,142,7070,6016,404,247,13738
12202,46,140,7,13,203,11295,8897,607,356,21155
12203,82,279,13,13,390,31678,19493,1346,822,53333
12301,16,27,4,9,54,12336,7060,555,410,20360
12302,33,80,6,4,127,29932,15744,1449,1096,48221
12303,17,35,5,5,70,6392,3128,335,219,10075
12401,34,104,4,3,143,8686,8794,607,288,18364
12402,0,0,0,0,0,3,6,0,0,17
12403,44,95,10,12,166,29018,17090,1565,895,48565
12404,23,42,0,9,77,10639,5586,497,346,17064
12405,20,39,3,0,65,12570,4790,454,437,18256
12501,48,49,3,17,118,39802,11956,1360,1244,54362
12502,33,60,8,8,106,13130,5764,496,414,19802
12503,55,77,3,8,146,34909,13116,1125,1248,50394
12504,65,157,12,18,251,63637,24950,3215,1996,93799
12601,18,73,5,4,99,5774,4322,286,184,10563
12602,68,218,17,27,329,62432,22716,2358,1546,89040
12701,22,32,4,3,64,9428,5686,459,406,15978
12702,58,83,11,12,158,33335,16591,1224,1469,52616
12703,55,87,8,11,171,37081,15858,1578,1364,55883
12801,53,160,20,18,246,21685,16574,1128,689,40078
12802,32,67,3,8,110,14219,10888,780,419,26306
19797,0,0,0,0,0,52,18,9,0,86
19999,128,389,76,98,690,81623,51874,6077,3799,143365
20101,51,98,12,22,189,25541,17518,1840,831,45726
20102,51,63,9,4,125,3585,3215,330,185,7308
20103,35,47,16,9,107,3679,2691,297,163,6828
20201,53,95,6,25,175,22642,15967,1748,664,41022
20202,71,110,10,9,209,8354,6211,619,290,15469
20203,39,42,4,6,91,2503,1125,172,116,3908
20301,23,37,4,3,69,2034,1576,151,90,3849
20302,93,193,18,36,333,48964,32740,3280,1488,86473
20303,28,74,4,12,124,7877,8257,692,318,17142
20401,119,142,23,20,306,11107,7221,823,452,19606
20402,105,111,23,20,261,10813,6927,880,382,19002
20403,92,110,18,18,246,18195,9943,1193,580,29917
20501,81,111,14,6,211,8486,6400,629,345,15866
20502,84,110,16,29,236,8177,6384,803,368,15735
20503,106,159,28,31,325,10680,8795,1059,468,21010
20504,47,96,14,14,174,17538,11032,1395,600,30561
20505,79,81,5,17,182,10130,5780,746,366,17024
20601,41,70,6,10,124,12978,10024,666,509,24175
20602,28,36,3,3,71,7946,5641,362,299,14254
20603,37,60,3,10,112,10953,8512,610,376,20456
20604,349,543,51,111,1050,305883,95409,14204,6962,422451
20605,98,170,22,18,313,65024,21167,2363,1529,90087
20606,64,160,15,16,253,19945,12296,850,563,33652
20607,85,158,13,22,282,53694,24041,2306,1348,81386
20701,102,348,27,32,507,41477,26658,2057,1192,71382
20702,41,140,9,5,202,11557,11644,690,434,24329
20703,32,149,9,10,205,26973,17379,1529,734,46617
20801,41,184,8,13,243,15388,12839,826,487,29537
20802,64,195,9,17,281,20223,16675,1076,639,38610
20803,87,189,13,24,312,39433,20921,1635,1124,63115
20804,37,88,11,8,138,10555,9721,646,387,21312
20901,41,139,12,14,198,21501,16712,1451,687,40356
20902,45,73,8,10,132,19087,12570,1043,723,33422
20903,27,65,0,4,94,6602,6731,420,260,14011
20904,49,98,12,8,171,32024,20463,1698,1224,55416
21001,35,54,0,4,102,22013,9429,875,717,33033
21002,12,37,3,4,57,3364,3078,255,127,6823
21003,19,39,4,6,58,8348,5430,417,384,14577
21004,9,21,0,0,39,3787,3655,251,138,7829
21005,61,67,13,21,163,50729,21363,2309,1769,76165
21101,69,176,14,17,273,39116,22145,1887,1081,64226
21102,12,54,4,3,72,2138,2235,157,84,4611
21103,41,127,5,8,184,23746,16574,1229,693,42235
21104,22,83,15,9,128,12621,8987,616,414,22635
21105,66,168,27,16,279,20292,16982,1451,729,39453
21201,67,90,8,18,186,12672,9289,693,510,23166
21202,32,86,0,14,131,21545,15777,1197,784,39303
21203,19,55,0,5,84,13185,10478,752,524,24944
21204,116,176,13,40,348,75025,27455,2687,2249,107411
21205,97,268,17,47,435,67474,32006,3001,1872,104349
21301,37,67,8,9,121,33371,18340,1534,1394,54640
21302,27,58,3,10,97,22242,9417,915,677,33252
21303,22,51,10,12,94,21410,13923,1131,804,37261
21304,18,31,3,7,57,16490,11605,920,639,29662
21305,37,56,12,6,116,39864,20576,1776,1421,63642
21401,60,110,11,18,198,23442,17193,1472,813,42912
21402,83,242,26,26,379,25361,21417,1733,964,49479
21501,177,178,31,46,429,14504,8721,1100,545,24861
21502,53,69,12,21,156,12707,7352,798,494,21354
21503,84,99,15,25,227,9124,5008,646,400,15177
21601,52,97,9,23,180,8991,5355,653,344,15340
21602,48,53,8,18,131,6196,3536,537,263,10534
21603,87,95,13,27,229,16858,9249,1203,630,27934
21701,108,92,13,19,231,8430,5502,688,348,14967
21703,100,115,19,23,259,9455,5905,740,373,16471
21704,80,101,15,23,214,12282,8210,961,439,21892
29797,0,0,0,0,0,107,24,22,9,157
29999,139,351,60,61,612,68402,42343,5166,3122,119032
30101,29,40,10,3,76,10263,7772,514,301,18852
30102,39,83,5,8,125,12368,9828,792,389,23375
30103,28,46,3,9,96,26888,9717,1052,666,38324
30201,12,28,0,11,43,3825,3438,239,132,7632
30202,45,70,6,7,129,21534,12987,1134,520,36173
30203,48,62,14,12,134,41867,12729,1844,934,57377
30204,12,40,0,3,50,5883,4849,411,177,11329
30301,5,34,3,5,50,8069,6985,458,262,15774
30302,29,83,5,15,130,24066,13299,1522,572,39458
30303,19,73,3,11,109,20198,11815,1020,525,33564
30304,22,42,9,4,73,14053,6037,561,376,21032
30305,35,59,4,10,103,27774,8280,957,714,37720
30306,11,30,0,0,40,3894,3900,220,162,8171
30401,11,9,0,0,19,4391,3945,268,136,8734
30402,28,59,3,3,91,4042,3963,280,110,8389
30403,23,87,5,5,119,13142,10636,843,387,25011
30404,6,43,3,9,54,10763,5791,673,278,17509
30501,120,207,14,55,401,143549,46039,6866,2712,199176
30502,19,41,6,4,71,9365,4390,333,199,14287
30503,57,143,3,14,221,41860,17633,2249,940,62681
30504,34,77,8,7,121,22802,11491,1098,527,35917
30601,9,27,8,3,47,7859,5229,477,231,13795
30602,89,109,8,25,224,33491,16521,1741,960,52712
30603,78,66,12,8,168,7789,4330,436,353,12911
30604,25,33,6,0,60,3415,1871,167,132,5581
30605,66,95,7,20,185,8054,5366,540,331,14297
30701,197,132,10,30,373,15525,5451,999,480,22463
30702,136,118,9,19,281,12547,5125,637,420,18733
30703,90,108,14,31,240,8593,5245,556,361,14752
30801,45,30,5,11,86,11668,3550,783,357,16361
30803,91,128,13,27,261,28042,14919,1737,761,45461
30804,66,44,6,11,128,5791,1813,346,200,8153
30805,34,33,6,8,83,17610,7462,1066,457,26594
30901,43,97,10,13,168,18498,13288,831,624,33248
30902,13,51,7,7,78,9320,7846,564,314,18040
30903,31,77,8,3,126,10183,7470,447,353,18448
30904,23,34,3,4,72,2297,1949,153,91,4494
30905,7,30,4,0,41,3285,2964,200,107,6559
30906,14,64,7,11,86,11163,6572,537,345,18623
30907,42,82,3,17,145,30506,14620,1235,860,47224
30908,17,50,0,6,78,13635,8937,701,410,23684
30909,55,96,10,20,177,27403,13682,1275,712,43075
30910,43,95,3,5,151,14759,9939,708,457,25868
31001,19,37,4,5,64,23892,7846,951,598,33291
31002,88,71,9,35,201,11654,5785,624,446,18508
31003,26,57,5,8,104,20560,12698,1276,593,35128
31004,15,26,3,9,47,13005,6970,578,419,20975
31101,22,32,0,5,57,3009,1876,148,118,5154
31102,9,12,4,0,27,6099,3637,338,226,10294
31103,6,33,0,3,38,11037,6637,559,425,18660
31104,9,19,0,0,28,3760,2701,220,154,6836
31105,21,26,8,3,59,13772,7964,751,396,22879
31106,17,50,4,11,86,19264,9719,845,602,30427
31201,45,40,8,13,101,19660,4139,1471,583,25850
31202,107,100,8,32,248,28902,14261,1638,906,45703
31203,28,28,3,4,62,6069,2765,282,173,9288
31301,9,28,4,4,41,2598,2426,183,129,5335
31302,14,34,0,13,70,12682,9468,801,437,23390
31303,27,18,3,3,54,2458,1254,139,103,3949
31304,16,23,0,5,43,8163,4724,406,253,13541
31305,18,48,3,5,80,10190,7832,659,350,19027
31401,12,48,0,0,62,6761,6676,404,223,14068
31402,8,13,0,3,24,8119,6626,465,275,15488
31403,14,23,7,4,43,13382,6172,567,344,20469
