SA3_CODE_2016,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000mo_Mng,Pvte_3000mo_Pro,Pvte_3000mo_TecTW,Pvte_3000mo_CoPSW,Pvte_3000mo_ClAW,Pvte_3000mo_SWks,Pvte_3000mo_MaOpDv,Pvte_3000mo_Lab,Pvte_3000mo_IDNS,Pvte_3000mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000mo_Mng,NS_3000mo_Pro,NS_3000mo_TecTW,NS_3000mo_CoPSW,NS_3000mo_ClAW,NS_3000mo_SWks,NS_3000mo_MaOpDv,NS_3000mo_Lab,NS_3000mo_IDNS,NS_3000mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot
10102,242,165,125,13,50,29,39,11,10,684,148,124,32,0,17,21,6,10,9,366,25,10,32,15,17,16,12,22,12,154,1770,1374,2521,1204,1352,1305,1038,1286,128,11971,0,0,0,0,0,0,0,0,4,9,0,0,0,4,0,0,0,0,4,10,0,0,0,0,3,0,0,6,3,13,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,8,14,0,0,3,0,0,0,0,4,9,11,0,0,3,0,3,0,7,3,3,24,0,3,0,8,0,0,4,0,9,18,0,4,3,0,3,0,0,0,5,15,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,0,0,0,5,10,0,0,3,3,3,0,3,0,24,36,3,16,22,16,16,7,11,16,86,189
10103,115,60,29,10,11,10,6,4,3,251,80,36,7,9,9,9,4,3,3,161,29,12,27,15,13,26,8,16,8,153,1616,762,1114,1263,703,944,647,1096,95,8233,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,13,3,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,3,0,7,13,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,18,12,0,8,6,5,3,5,9,50,91
10104,166,200,62,18,29,24,24,13,5,546,101,163,15,11,14,20,9,12,3,340,49,32,50,35,29,61,11,71,7,350,2892,2563,3088,2554,2219,2842,1134,2694,201,20187,0,0,0,0,0,0,0,3,5,11,3,0,4,3,3,0,0,0,11,24,0,0,4,0,3,0,0,4,13,25,3,0,4,0,0,0,0,8,13,33,3,0,0,3,0,3,0,0,14,27,0,0,0,0,0,0,0,5,10,24,0,0,8,4,0,0,0,0,8,23,4,0,0,3,0,0,0,0,9,25,3,0,3,0,0,0,0,0,6,16,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,3,3,0,6,5,0,0,0,0,36,54,24,10,31,18,10,12,8,28,146,286
10105,146,107,66,10,14,27,52,12,0,433,99,75,19,3,15,7,5,3,3,228,38,19,28,15,11,26,21,30,7,196,1811,1183,1520,1304,1072,1285,878,1372,108,10539,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,3,4,11,3,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,6,11,0,0,0,0,4,0,0,0,10,14,0,0,3,8,0,3,0,0,6,21,0,0,0,3,0,3,0,0,7,9,0,0,3,0,0,0,0,0,5,12,3,0,0,0,3,0,0,3,3,14,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,0,16,25,11,5,13,18,11,6,6,11,89,170
10106,161,131,33,3,21,14,20,8,5,400,153,72,15,4,8,13,12,11,4,291,57,8,25,14,16,18,9,34,7,185,2352,1047,1342,1010,966,1075,551,1472,86,9899,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,7,18,0,3,3,0,0,0,0,0,6,17,0,0,0,0,0,0,0,3,5,15,0,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,4,3,13,3,0,3,0,0,0,0,3,5,12,0,0,0,0,5,0,0,0,4,13,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,10,3,0,0,0,0,0,0,0,21,32,4,6,15,4,11,3,3,22,66,141
10201,694,894,238,30,190,118,55,31,24,2280,406,571,55,14,75,67,22,28,22,1252,103,109,106,94,80,96,44,63,24,719,5861,8267,7155,6235,6613,6712,2619,5310,500,49267,0,0,0,0,0,0,0,3,16,20,0,3,3,9,0,3,0,4,21,39,0,0,0,9,0,3,0,3,16,38,0,0,8,4,3,0,0,6,21,45,0,0,5,0,4,0,0,3,20,42,3,5,9,3,0,3,0,0,13,38,0,0,4,5,0,3,3,4,34,56,0,6,8,5,0,0,0,5,25,52,3,8,10,3,3,0,3,3,32,71,3,0,3,0,0,0,0,0,10,18,0,0,0,0,0,3,3,0,15,20,4,0,0,0,0,0,3,0,14,19,0,4,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,13,12,5,7,13,14,7,10,4,5,93,149,21,42,55,50,25,28,18,46,337,625
10202,500,495,209,26,112,80,90,40,15,1563,283,314,54,24,60,58,13,23,10,846,56,47,102,81,56,87,54,70,22,574,4239,5129,5858,4971,4750,5902,3010,4619,412,38883,0,0,0,0,0,3,0,0,18,26,0,0,0,3,0,3,0,0,10,24,3,0,3,3,0,3,0,3,18,33,0,3,0,0,0,3,3,4,25,47,0,0,4,5,3,4,0,3,20,39,0,0,3,7,3,3,3,4,23,49,0,7,7,0,0,0,3,8,24,60,0,0,6,3,3,0,3,8,19,48,4,3,10,0,4,0,0,3,15,39,0,0,3,0,0,0,0,0,4,10,3,4,0,0,0,0,0,0,9,17,0,0,0,0,0,4,0,0,3,8,0,0,0,3,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,8,5,9,65,98,15,26,44,34,18,31,20,56,269,515
10301,239,240,120,11,42,29,35,33,8,754,131,114,21,4,16,21,7,9,0,331,36,15,38,23,24,28,19,34,13,233,2242,2096,2413,1863,1716,1952,1168,2102,161,15714,3,0,0,0,0,0,0,0,10,13,0,0,4,0,0,0,0,0,17,16,0,3,0,3,0,0,0,0,12,25,0,3,0,3,0,0,0,0,6,19,3,0,4,0,0,3,0,0,5,16,0,0,0,0,0,0,0,7,7,15,0,3,0,0,3,0,0,4,11,30,0,0,0,3,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,3,6,5,0,3,3,0,7,27,54,17,13,22,10,11,6,9,17,128,230
10302,260,220,128,5,40,29,121,21,11,840,239,112,28,8,19,15,28,13,3,470,106,22,51,13,31,34,31,44,18,345,4392,1857,2421,1619,1702,1826,1546,2302,184,17853,0,0,0,0,0,0,0,3,8,13,0,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,0,3,17,19,11,0,4,3,0,0,0,3,14,39,0,0,3,0,0,3,0,0,15,30,0,0,5,0,0,0,3,3,21,36,0,3,6,3,3,0,0,4,16,37,0,0,0,0,0,0,0,0,15,19,4,3,0,0,0,0,0,0,12,16,5,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,6,4,0,0,8,0,0,0,0,40,61,30,14,28,15,7,4,13,22,190,334
10303,170,181,371,11,50,16,668,32,16,1512,160,139,224,3,15,21,130,22,3,723,46,19,49,12,15,20,41,30,12,245,2094,1501,2651,1340,1469,1477,2087,1720,150,14490,4,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,8,11,0,0,0,4,0,0,0,0,10,16,0,0,0,0,0,3,0,7,9,18,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,5,4,11,0,0,0,0,0,0,3,0,4,15,0,0,3,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,0,7,3,0,0,0,0,0,35,52,8,15,13,10,0,3,5,18,109,183
