SA3_CODE_2016,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000mo_A_15_19,SW_3000mo_A_20_24,SW_3000mo_A_25_34,SW_3000mo_A_35_44,SW_3000mo_A_45_54,SW_3000mo_A_55_64,SW_3000mo_A_65_74,SW_3000mo_A_75ov,SW_3000mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ove,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000mo_A_15_19,MaOpD_3000mo_A_20_24,MaOpD_3000mo_A_25_34,MaOpD_3000mo_A_35_44,MaOpD_3000mo_A_45_54,MaOpD_3000mo_A_55_64,MaOpD_3000mo_A_65_74,MaOpD_3000mo_A_75ov,MaOpD_3000mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19
10102,113,0,6,10,19,18,3,0,0,57,0,0,8,14,10,9,0,0,43,0,0,4,11,5,0,3,0,24,0,0,6,7,8,9,0,0,29,0,0,5,4,6,3,0,0,21,9,0,0,0,3,0,0,0,16,341,170,238,188,196,141,44,6,1328,0,0,0,0,4,0,0,0,3,8,0,0,3,0,3,0,0,16,5,3,3,3,0,0,3,0,14,0,6,4,3,0,5,0,0,23,0,0,7,0,6,3,6,0,24,3,13,14,16,8,18,3,0,79,5,5,24,21,22,31,7,0,111,3,18,47,52,59,59,16,0,260,3,15,47,52,57,54,11,0,243,0,13,27,31,25,23,8,0,136,0,0,13,27,22,15,4,0,90,0,0,14,11,6,3,0,0,33,0,0,7,6,10,8,0,0,36,0,0,3,0,0,0,0,0,6,0,0,0,3,8,3,0,0,14,32
10103,68,0,0,4,5,9,3,0,0,20,0,0,3,3,7,4,0,0,22,0,0,0,0,4,3,0,0,11,0,0,0,3,0,3,0,0,10,0,0,0,3,4,3,0,0,9,11,3,4,3,0,3,0,0,23,172,131,160,145,176,128,48,4,955,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,17,0,5,0,0,0,10,3,0,24,5,6,3,0,5,3,0,0,26,7,8,4,3,5,6,5,0,37,14,39,12,4,8,13,6,0,98,16,35,24,7,23,12,3,0,116,3,26,34,16,28,32,3,0,148,0,11,23,19,35,37,3,0,130,0,6,5,12,17,8,3,0,52,0,3,5,13,11,4,0,0,42,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,63
10104,176,0,0,14,20,28,21,3,0,85,0,0,6,5,13,16,4,0,50,0,0,3,3,5,3,0,0,19,0,0,0,7,5,4,4,0,27,0,0,0,11,3,4,0,0,20,9,3,11,11,13,15,3,0,61,590,235,343,396,601,548,147,14,2876,0,0,0,0,0,0,0,0,4,5,0,3,0,3,0,3,0,12,0,3,3,3,6,4,3,0,29,0,7,6,10,4,16,9,0,49,3,4,4,7,7,18,9,0,55,6,6,13,14,37,39,21,0,135,0,14,26,43,43,63,24,4,224,4,16,27,52,69,70,10,0,248,0,9,22,54,73,74,9,0,241,0,3,15,37,41,37,8,0,137,0,3,14,9,11,21,0,0,55,0,0,4,4,6,3,0,0,25,0,0,0,5,4,6,3,0,24,0,0,0,0,0,0,0,0,9,0,0,0,0,7,3,0,3,14,19
10105,86,0,0,3,15,9,10,0,0,33,0,0,3,8,5,0,0,0,16,0,0,4,3,4,0,0,0,11,0,0,3,3,6,3,4,0,29,0,0,0,4,0,0,3,0,7,10,3,0,3,7,3,0,0,28,318,163,211,206,207,167,49,3,1308,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,5,0,15,3,0,0,4,3,0,0,0,14,3,6,0,0,7,10,3,3,25,0,3,3,0,7,6,6,0,25,0,5,9,9,12,12,12,0,55,3,3,19,19,24,11,6,0,81,3,14,24,35,40,28,7,0,153,0,17,28,39,51,49,11,0,199,0,9,23,32,42,33,4,0,142,0,6,15,29,21,22,3,0,95,0,3,20,16,21,11,3,0,68,0,0,11,12,18,11,0,0,56,0,0,3,0,0,0,0,0,7,0,0,0,10,5,6,0,0,27,23
10106,70,0,0,9,7,10,4,0,0,41,0,0,0,11,3,11,0,0,28,0,0,0,0,7,4,0,0,10,0,0,5,3,4,0,0,0,14,0,0,3,0,4,0,3,0,8,5,0,4,0,7,3,0,0,18,232,129,159,178,189,156,45,4,1086,0,0,3,0,3,0,0,0,6,0,0,0,0,3,3,0,0,6,3,0,3,0,6,3,0,0,13,0,0,3,3,7,3,4,0,18,0,3,0,5,6,12,3,0,28,0,4,4,4,16,16,12,0,50,3,4,10,13,23,14,9,0,81,3,3,16,25,41,36,11,0,135,0,6,12,26,41,30,5,3,126,0,0,20,13,20,14,6,0,76,0,0,15,5,15,5,0,0,44,0,0,7,5,9,3,0,0,24,0,0,3,6,3,9,0,0,20,0,0,0,0,0,0,3,0,12,0,0,0,3,0,3,0,0,12,15
10201,441,0,8,62,46,76,35,10,0,239,0,5,32,44,67,26,4,0,173,0,0,15,28,38,19,5,0,103,0,0,14,26,35,29,11,0,120,0,6,8,21,16,15,10,0,67,34,17,22,3,11,14,8,0,108,1558,1012,1000,871,1123,952,248,21,6787,3,0,0,4,3,0,0,0,9,35,15,4,3,3,4,0,0,62,35,13,3,11,13,17,12,0,98,5,11,7,7,17,16,10,0,84,14,17,16,16,28,28,12,3,132,12,41,34,36,65,66,16,5,282,4,38,78,73,111,112,33,0,447,8,27,99,122,144,126,17,0,546,0,16,83,115,133,140,23,0,507,0,10,39,59,82,52,8,0,257,0,3,33,33,61,33,12,0,173,0,0,8,31,29,37,9,0,111,0,0,12,24,21,15,0,0,75,0,0,0,3,11,7,0,0,23,4,5,3,7,21,8,6,0,46,116
10202,340,0,10,37,41,44,35,10,3,176,0,6,15,31,40,22,4,3,122,0,0,5,10,18,7,3,0,49,0,0,10,24,27,10,0,0,80,0,0,11,22,13,5,3,0,58,21,11,19,6,14,14,4,0,89,1528,935,891,802,939,684,177,15,5971,0,0,0,4,0,0,0,0,3,43,4,0,0,4,0,3,0,62,21,18,9,12,12,10,9,3,94,11,13,9,8,12,26,9,0,95,6,18,18,15,10,28,11,0,112,10,27,30,44,46,65,11,9,238,11,52,119,86,97,99,31,0,492,5,46,128,145,181,144,29,0,683,0,24,117,131,181,149,21,0,625,0,9,48,76,118,79,12,0,337,0,3,33,46,55,42,8,0,180,0,3,15,14,34,19,3,0,91,0,0,26,30,24,12,0,0,96,0,0,3,7,3,6,0,0,18,0,5,7,10,13,14,8,0,62,112
10301,113,0,3,15,15,9,10,0,0,52,0,3,4,12,15,5,0,0,40,0,0,4,10,5,4,3,0,22,0,0,12,9,7,3,0,0,27,0,0,6,3,4,0,4,0,21,12,3,8,0,3,3,0,0,28,451,369,375,259,247,205,60,16,1987,0,0,0,0,3,0,0,0,7,7,0,0,0,0,0,0,0,4,7,3,0,0,3,8,0,0,18,0,9,3,3,9,3,3,0,29,0,3,4,4,9,6,14,0,49,0,0,11,12,21,17,10,0,81,0,20,29,31,40,39,13,0,166,6,17,60,65,70,70,7,3,300,4,15,42,50,72,55,6,0,247,0,6,25,37,47,32,9,0,160,0,3,14,35,35,17,7,0,106,0,0,5,21,14,7,3,0,48,0,0,5,11,8,4,3,0,37,0,0,0,0,3,4,0,0,7,0,0,3,3,8,6,0,0,29,23
10302,148,0,3,10,6,19,19,4,0,67,0,3,4,13,12,4,0,0,35,0,0,4,5,3,0,3,0,13,0,0,8,7,5,7,3,0,29,0,0,0,4,6,8,0,0,15,13,4,4,3,3,0,3,0,40,397,225,308,264,333,258,57,15,1854,0,0,0,3,3,3,0,0,15,9,3,0,0,3,0,0,0,15,7,0,4,0,3,3,0,0,26,4,0,3,5,9,16,10,0,51,3,3,10,9,11,20,12,0,62,0,13,17,19,37,34,22,3,147,0,25,32,29,47,51,21,4,200,3,26,50,51,77,61,13,0,273,0,21,51,59,65,59,15,4,266,0,11,34,40,55,41,6,3,197,0,3,45,37,38,43,8,0,168,0,0,26,33,28,15,0,0,114,0,0,31,30,46,13,3,0,125,0,0,9,3,4,11,0,0,24,0,0,6,9,6,5,3,0,31,38
10303,86,0,0,6,10,12,6,0,0,35,0,3,5,5,7,5,0,0,20,0,0,3,3,3,4,0,0,15,0,0,0,7,10,0,0,0,16,0,3,0,3,6,3,5,0,21,5,8,0,0,0,6,3,0,24,305,192,234,236,284,180,58,4,1499,0,0,0,0,6,5,0,0,12,3,3,0,0,0,4,0,0,11,3,0,0,0,3,6,4,0,16,0,6,0,0,10,11,8,0,35,0,3,3,4,8,18,4,0,45,3,6,14,13,14,27,7,0,79,3,10,9,21,37,30,6,0,120,3,10,35,29,48,46,11,0,183,0,9,42,51,76,53,3,0,233,0,4,38,60,56,55,7,0,225,0,6,52,56,67,30,0,0,216,0,0,47,73,73,36,0,0,225,0,7,165,230,186,92,7,0,682,0,3,31,36,46,16,0,0,127,0,3,13,13,10,11,0,0,48,15
