SA3_CODE_2016,MaOpD_400_499_H_0,MaOpD_400_499_H_1_15,MaOpD_400_499_H_16_24,MaOpD_400_499_H_25_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40,MaOpD_400_499_H_41_48,MaOpD_400_499_H_49mo,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_15,MaOpD_500_649_H_16_24,MaOpD_500_649_H_25_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40,MaOpD_500_649_H_41_48,MaOpD_500_649_H_49mo,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_15,MaOpD_650_799_H_16_24,MaOpD_650_799_H_25_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40,MaOpD_650_799_H_41_48,MaOpD_650_799_H_49mo,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_15,MaOpD_800_999_H_16_24,MaOpD_800_999_H_25_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40,MaOpD_800_999_H_41_48,MaOpD_800_999_H_49mo,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_15,MaOpD_1000_1249_H_16_24,MaOpD_1000_1249_H_25_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40,MaOpD_1000_1249_H_41_48,MaOpD_1000_1249_H_49mo,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_15,MaOpD_1250_1499_H_16_24,MaOpD_1250_1499_H_25_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40,MaOpD_1250_1499_H_41_48,MaOpD_1250_1499_H_49mo,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_15,MaOpD_1500_1749_H_16_24,MaOpD_1500_1749_H_25_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40,MaOpD_1500_1749_H_41_48,MaOpD_1500_1749_H_49mo,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_15,MaOpD_1750_1999_H_16_24,MaOpD_1750_1999_H_25_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40,MaOpD_1750_1999_H_41_48,MaOpD_1750_1999_H_49mo,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_15,MaOpD_2000_2999_H_16_24,MaOpD_2000_2999_H_25_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40,MaOpD_2000_2999_H_41_48,MaOpD_2000_2999_H_49mo,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000mo_H_0,MaOpD_3000mo_H_1_15,MaOpD_3000mo_H_16_24,MaOpD_3000mo_H_25_34,MaOpD_3000mo_H_35_39,MaOpD_3000mo_H_40,MaOpD_3000mo_H_41_48,MaOpD_3000mo_H_49mo,MaOpD_3000mo_H_NS,MaOpD_3000mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_15,MaOpD_PINS_H_16_24,MaOpD_PINS_H_25_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40,MaOpD_PINS_H_41_48,MaOpD_PINS_H_49mo,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_15,MaOpD_Tot_H_16_24,MaOpD_Tot_H_25_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40,MaOpD_Tot_H_41_48,MaOpD_Tot_H_49mo,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_15,Lab_NNI_H_16_24,Lab_NNI_H_25_34,Lab_NNI_H_35_39,Lab_NNI_H_40,Lab_NNI_H_41_48,Lab_NNI_H_49mo,Lab_NNI_H_NS,Lab_NNI_H_Tot,Lab_1_149_H_0,Lab_1_149_H_1_15,Lab_1_149_H_16_24,Lab_1_149_H_25_34,Lab_1_149_H_35_39,Lab_1_149_H_40,Lab_1_149_H_41_48,Lab_1_149_H_49mo,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_15,Lab_150_299_H_16_24,Lab_150_299_H_25_34,Lab_150_299_H_35_39,Lab_150_299_H_40,Lab_150_299_H_41_48,Lab_150_299_H_49mo,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_15,Lab_300_399_H_16_24,Lab_300_399_H_25_34,Lab_300_399_H_35_39,Lab_300_399_H_40,Lab_300_399_H_41_48,Lab_300_399_H_49mo,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_15,Lab_400_499_H_16_24,Lab_400_499_H_25_34,Lab_400_499_H_35_39,Lab_400_499_H_40,Lab_400_499_H_41_48,Lab_400_499_H_49mo,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_15,Lab_500_649_H_16_24,Lab_500_649_H_25_34,Lab_500_649_H_35_39,Lab_500_649_H_40,Lab_500_649_H_41_48,Lab_500_649_H_49mo,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_15,Lab_650_799_H_16_24,Lab_650_799_H_25_34,Lab_650_799_H_35_39,Lab_650_799_H_40,Lab_650_799_H_41_48,Lab_650_799_H_49mo,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_15,Lab_800_999_H_16_24,Lab_800_999_H_25_34,Lab_800_999_H_35_39,Lab_800_999_H_40,Lab_800_999_H_41_48,Lab_800_999_H_49mo,Lab_800_999_H_NS,Lab_800_999_H_Tot
10102,0,8,6,5,3,0,0,6,0,24,5,9,15,11,13,17,0,7,7,79,6,5,8,16,40,18,12,8,0,111,0,9,0,22,74,56,44,39,3,260,11,3,3,15,43,69,47,53,5,243,4,0,3,5,14,26,23,59,0,136,0,3,0,0,9,12,13,47,0,90,0,0,0,0,0,9,4,27,0,33,3,0,0,0,0,3,9,19,0,36,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,3,0,4,4,14,34,62,50,81,210,215,154,275,24,1095,0,7,3,0,3,4,0,0,0,19,6,104,8,0,0,3,0,0,3,123,3,49,21,5,3,3,0,0,0,82,0,36,27,13,0,0,0,3,4,86,3,17,44,25,3,5,4,3,3,108,6,15,22,40,23,15,7,12,0,141,5,10,16,41,78,25,13,13,10,213,11,3,9,27,71,62,26,21,3,236
10103,3,3,3,4,14,4,0,8,0,37,0,0,5,19,38,11,8,9,3,98,3,3,3,11,46,22,11,16,3,116,0,0,0,9,53,27,30,30,0,148,3,0,6,3,27,23,30,41,3,130,0,0,0,3,8,12,12,22,0,52,0,0,0,0,0,9,3,23,0,42,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,17,32,29,55,204,114,95,156,13,715,0,4,0,3,0,0,0,0,3,11,12,54,3,6,0,0,0,0,0,71,3,49,24,11,0,3,3,3,0,92,0,33,31,25,5,3,7,3,0,109,3,21,29,26,18,13,3,7,3,124,3,19,29,68,33,25,10,21,10,220,5,10,22,55,50,36,7,24,6,220,0,8,10,11,49,36,28,18,0,160
10104,5,12,23,8,3,3,3,0,0,55,8,24,25,24,22,12,8,15,0,135,10,10,23,38,61,40,14,17,6,224,8,3,13,20,68,60,44,34,6,248,8,8,0,6,50,66,44,56,0,241,3,4,0,4,23,24,32,47,0,137,3,0,0,3,9,9,7,27,0,55,0,0,0,0,4,3,0,14,0,25,0,0,0,0,0,0,8,8,0,24,0,0,0,0,0,0,0,4,0,9,0,0,0,0,4,0,0,3,0,14,48,109,119,111,250,221,150,228,22,1259,4,14,3,0,5,4,0,3,5,32,17,175,15,4,0,0,0,3,10,221,8,152,29,14,5,3,0,5,6,227,15,120,63,34,7,4,0,3,6,260,15,108,104,62,16,13,11,8,3,337,16,75,79,108,62,28,15,14,8,405,18,37,62,78,104,59,22,29,8,408,13,26,33,57,120,93,47,30,7,428
10105,3,3,4,4,7,0,0,3,0,25,0,3,15,9,7,7,5,3,0,55,0,3,8,11,32,13,9,4,0,81,3,5,7,19,43,25,21,27,4,153,7,4,0,14,69,29,21,55,0,199,0,0,6,12,41,19,17,46,3,142,4,0,0,0,12,11,18,40,0,95,0,0,0,3,5,10,6,43,0,68,0,0,0,3,3,3,4,46,0,56,0,0,0,0,0,0,0,3,0,7,0,3,0,0,5,0,0,3,9,27,33,45,56,77,239,119,101,272,21,963,0,10,3,4,3,0,0,0,0,20,6,90,8,4,0,3,0,3,3,114,4,70,20,3,4,7,3,4,3,114,0,42,44,12,3,8,0,0,0,111,0,32,52,30,11,14,3,6,3,150,4,28,28,60,45,22,8,10,4,213,3,11,13,52,90,56,12,17,0,258,3,14,12,11,76,53,26,31,3,240
10106,3,3,9,0,3,3,0,3,0,28,0,3,13,11,7,6,0,4,3,50,0,0,9,15,21,13,11,5,3,81,3,0,4,9,34,31,21,24,4,135,8,0,3,7,34,26,14,33,0,126,6,0,0,4,10,7,8,30,0,76,0,3,0,0,0,3,7,31,3,44,0,0,0,0,0,3,0,14,3,24,0,0,0,0,0,4,3,12,0,20,7,0,0,0,0,0,0,4,0,12,0,0,0,0,4,3,0,3,3,12,28,33,57,56,116,102,64,174,15,647,0,12,0,0,0,3,0,4,0,21,10,116,8,0,0,0,0,3,3,145,3,82,18,9,0,3,0,3,3,134,3,50,36,21,4,9,3,4,3,128,7,25,35,30,13,3,4,8,5,129,0,39,33,61,43,32,16,13,3,228,4,12,22,38,86,64,22,21,8,281,8,9,9,20,83,58,50,40,4,284
10201,6,13,53,24,13,11,3,4,10,132,10,30,47,52,75,32,17,11,7,282,9,22,38,53,193,83,29,25,5,447,12,8,21,28,200,130,82,59,12,546,10,3,19,21,138,121,71,122,4,507,11,5,3,4,33,53,54,88,3,257,8,4,3,4,17,40,30,74,3,173,3,0,0,4,13,14,15,59,0,111,0,0,3,0,7,5,9,39,0,75,3,0,3,0,3,0,0,10,0,23,0,3,6,6,10,6,3,7,6,46,86,226,239,225,713,486,309,514,57,2849,3,26,3,6,0,0,0,5,4,53,38,532,31,6,6,0,0,0,9,618,29,311,103,27,10,8,0,3,8,504,19,187,148,63,18,8,3,9,13,478,10,151,180,103,26,18,10,8,12,508,23,110,160,208,138,83,23,22,8,782,22,61,98,181,311,179,63,38,16,977,12,29,46,100,245,220,99,64,12,822
10202,4,29,36,23,10,7,0,5,3,112,10,20,54,60,46,15,8,11,4,238,19,17,50,81,185,74,27,36,5,492,15,11,31,86,246,144,65,68,12,683,14,8,20,38,193,134,95,116,3,625,15,0,12,8,79,73,57,90,3,337,3,3,8,0,30,28,42,69,0,180,3,0,0,0,9,26,14,39,0,91,0,0,0,0,15,19,9,46,3,96,0,0,0,0,0,5,0,11,0,18,0,6,4,10,11,8,4,7,13,62,84,229,264,336,838,540,311,510,56,3181,6,27,3,0,0,3,0,3,3,50,26,432,34,9,3,0,0,0,11,521,21,229,88,25,15,6,0,0,13,405,10,177,132,38,9,6,4,8,16,406,23,105,152,97,28,25,3,5,9,439,23,83,159,181,112,62,13,22,9,655,29,57,71,153,272,145,35,36,15,806,15,24,42,73,239,195,71,36,5,702
10301,4,14,9,3,3,6,3,3,3,49,3,6,12,24,12,12,3,10,0,81,10,4,5,18,66,37,13,16,0,166,3,4,10,17,97,78,44,41,9,300,4,3,3,10,57,53,43,74,3,247,8,0,0,3,26,26,22,70,0,160,8,0,0,0,16,21,12,49,0,106,0,0,3,0,7,0,7,32,0,48,0,0,3,0,3,3,4,20,0,37,0,0,0,0,0,0,0,3,0,7,0,0,0,3,8,0,0,5,3,29,38,55,66,78,301,251,148,334,24,1287,3,16,5,0,0,0,0,0,0,26,7,150,13,3,6,0,0,0,7,182,10,100,26,7,8,3,0,6,4,167,9,57,40,25,14,8,0,6,0,159,9,49,59,28,19,18,4,8,6,189,8,36,58,63,63,30,8,18,0,281,7,23,23,49,130,62,18,25,11,357,10,6,19,23,109,91,33,22,0,314
10302,0,13,23,11,4,0,0,5,0,62,11,13,24,29,21,25,4,20,3,147,4,9,15,28,59,35,23,20,4,200,6,4,6,15,72,59,46,60,3,273,15,3,3,7,53,48,57,79,3,266,9,3,0,6,15,38,50,79,3,197,3,4,0,6,17,16,44,82,0,168,5,0,3,3,7,10,26,50,3,114,7,3,3,0,7,10,23,61,3,125,0,0,4,0,3,4,3,7,0,24,0,0,8,0,3,4,0,6,3,31,69,95,116,110,271,254,279,486,35,1714,0,13,9,0,0,3,0,0,5,29,10,135,4,6,3,3,0,3,9,170,8,110,31,18,6,7,9,8,5,195,15,80,54,20,12,10,6,3,3,210,9,62,47,61,17,22,10,12,6,241,6,51,65,108,75,50,9,30,14,419,17,24,28,54,151,125,36,32,3,469,11,10,21,32,95,103,51,44,6,376
10303,0,15,14,5,5,5,3,8,0,45,5,9,19,15,8,11,3,11,0,79,3,9,5,20,24,26,12,7,0,120,4,3,5,25,52,46,20,19,0,183,5,0,7,10,51,57,39,55,3,233,3,3,0,9,43,50,51,65,6,225,9,4,0,6,38,39,40,78,3,216,5,4,3,8,29,55,51,62,3,225,33,0,7,13,86,126,216,191,9,682,3,3,0,0,17,14,37,64,3,127,0,3,0,0,6,15,4,7,3,48,81,70,94,115,363,454,479,568,34,2249,3,15,0,0,0,4,0,5,0,27,11,126,7,6,0,0,0,3,3,161,13,104,25,15,5,4,0,3,3,169,9,79,45,28,7,6,4,4,4,178,3,46,70,48,15,11,4,0,8,195,8,32,50,62,35,26,7,12,3,247,9,22,22,49,93,55,17,24,3,288,6,8,10,25,82,63,26,27,8,251
