SA3_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
20303,2274,3066,2743,2598,1802,2191,418,1801,247,17142
20401,3480,2875,2573,2793,1957,1736,1166,2684,336,19606
20402,3026,3408,2468,2182,2130,1814,1255,2410,308,19002
20403,4416,4818,4538,3844,3163,2622,2516,3533,469,29917
20501,2613,2756,2163,1831,1744,1481,828,2207,238,15866
20502,2472,2434,2046,2058,1792,1666,878,2108,278,15735
20503,4035,3082,2865,2410,2166,2293,1158,2667,326,21010
20504,3011,5411,4973,3733,4362,3179,2348,2963,575,30561
20505,2951,2703,2769,1933,1690,1437,1112,2157,277,17024
20601,2861,5833,3236,3388,2912,2512,1220,1836,372,24175
20602,1905,3426,2162,2158,1447,1331,632,982,222,14254
20603,2217,4835,2146,3184,3352,2468,599,1312,341,20456
20604,68527,161559,26508,30717,79786,24966,5495,16707,8198,422451
20605,17341,26944,9621,6536,13742,7115,2674,4608,1510,90087
20606,5392,9433,3725,4249,3764,4225,457,1888,515,33652
20607,13353,27919,7726,6934,10953,7218,2269,3673,1337,81386
20701,10630,23815,6194,8229,10306,6752,991,3319,1142,71382
20702,2983,4667,2770,3798,2675,4628,728,1760,330,24329
20703,5547,15699,4678,5047,7693,3973,864,2386,732,46617
20801,3944,7874,3396,4665,3604,3009,786,1771,488,29537
20802,4389,11555,4363,5803,5009,3649,792,2503,557,38610
20803,9012,10132,9418,5817,8067,8237,5148,6273,1020,63115
20804,2714,5534,2121,2391,2603,4107,252,1291,303,21312
20901,3785,12692,5191,5516,5116,3567,1243,2666,577,40356
20902,4023,7516,3652,4042,4316,4279,2278,2749,564,33422
20903,1706,3032,2202,2193,1723,1344,453,1157,196,14011
20904,6047,10473,7407,5922,6556,7288,4540,6303,881,55416
21001,4432,4660,5456,2501,5714,3568,3268,2884,555,33033
21002,848,1259,1093,861,919,777,278,694,89,6823
21003,1466,2720,2222,2473,1452,1355,1163,1470,253,14577
21004,777,1373,1099,1209,920,1344,286,714,99,7829
21005,8652,10351,10802,7725,9615,7380,11060,9000,1573,76165
21101,8651,11103,9291,5943,9244,7418,5324,6261,995,64226
21102,524,1329,665,747,575,244,90,360,78,4611
21103,5003,8205,6246,4860,5322,5573,2118,4306,613,42235
21104,2984,4835,2840,2727,3054,3186,981,1711,314,22635
21105,5088,6490,6305,5286,4440,4454,2142,4643,603,39453
21201,2896,3415,3658,2785,2676,2999,1514,2875,347,23166
21202,4296,7212,5373,4621,5017,6092,2199,3894,608,39303
21203,2523,4284,3522,3813,2487,3396,1618,2940,356,24944
21204,13860,16206,15875,7102,15536,9253,15169,12319,2094,107411
21205,14487,29607,12815,8892,15826,8799,5401,6778,1747,104349
21301,5617,9750,6680,5631,6976,5995,6939,5906,1141,54640
21302,3993,4919,5343,3077,3824,2680,4796,3971,649,33252
21303,4351,8405,3779,4471,4345,5215,2876,3116,697,37261
21304,2878,5096,4108,4615,3469,3845,2279,2871,498,29662
21305,6836,10155,7373,7164,7352,7021,10231,6317,1187,63642
21401,4752,9286,5803,5471,5523,5301,2068,4065,652,42912
21402,5889,8321,8285,7405,5476,6206,1735,5401,749,49479
21501,5264,3673,2815,3216,2426,2207,1427,3450,384,24861
21502,3162,3583,2651,2490,2533,2588,1327,2670,349,21354
21503,3457,2162,1800,1428,1607,1402,968,2089,274,15177
21601,2842,2214,2009,1613,1533,1666,1008,2234,217,15340
21602,2110,1262,1323,994,1035,972,731,1909,199,10534
21603,3922,5177,3621,3063,3407,2913,1840,3540,451,27934
21701,2910,2278,1952,1587,1519,1357,1329,1807,235,14967
21703,3694,2066,2021,1763,1373,1369,1095,2791,304,16471
21704,3545,3845,2638,2406,2399,2380,1302,3056,327,21892
29797,6,14,67,0,0,3,25,34,4,157
29999,7931,11580,45842,10740,4300,5053,8963,22073,2557,119032
30101,2222,2689,2824,2485,2505,2874,1029,1942,269,18852
30102,2495,4726,2930,3422,3004,2528,1011,2922,335,23375
30103,4902,5513,6041,3132,5306,2934,4735,5104,654,38324
30201,747,1755,772,1243,1104,1094,176,622,123,7632
30202,3770,8297,4885,3886,5195,4791,1640,3212,507,36173
30203,7371,8071,8427,4605,8786,5265,7628,6273,946,57377
30204,1120,2249,1231,2169,1487,1188,502,1219,170,11329
30301,1977,2630,1692,1971,1991,3353,551,1372,232,15774
30302,3962,13760,3890,5322,5951,2488,1165,2369,546,39458
30303,4264,7929,3535,3624,5583,4286,1388,2412,538,33564
30304,2652,4695,3068,1810,3253,1752,1675,1754,373,21032
30305,4619,3813,5725,1878,5657,2964,8778,3560,719,37720
30306,758,1987,905,1458,936,984,292,717,133,8171
30401,1102,1514,1033,1348,1003,1490,381,757,109,8734
30402,1028,2360,887,1333,1029,787,158,652,153,8389
30403,2545,9152,2327,2800,2903,2986,478,1515,303,25011
30404,2229,3390,2271,4286,1739,1591,663,1033,310,17509
30501,28851,73401,13425,15688,43061,11145,1943,8241,3422,199176
30502,2124,2701,2136,1443,1946,1306,934,1485,207,14287
30503,8406,20014,7100,5967,10335,4315,1864,3715,967,62681
30504,5067,11654,3701,3531,6079,2876,750,1758,505,35917
30601,1509,2446,2040,2106,1458,1850,760,1412,217,13795
30602,5857,10832,7035,7231,7879,5727,2539,4733,868,52712
30603,2057,1552,1578,1376,1344,1055,1079,2633,239,12911
30604,848,644,859,896,574,584,284,799,98,5581
30605,2231,2161,1765,1743,1696,1463,833,2174,239,14297
30701,4822,2685,3509,1824,2315,1485,2435,2996,383,22463
30702,3701,2200,2980,1446,1842,1276,1764,3258,274,18733
30703,2689,1785,1814,1567,1601,1300,1169,2578,250,14752
30801,2098,1671,3287,1008,1498,1026,3850,1674,242,16361
30803,4803,7900,6764,5835,6363,4804,2971,5401,615,45461
30804,1519,791,1482,493,727,483,1379,1148,121,8153
30805,2564,3747,5575,2434,2886,2280,3256,3373,471,26594
30901,4544,4297,4732,4632,4095,5613,1423,3428,487,33248
30902,1973,3466,2416,2908,2275,2214,718,1771,296,18040
30903,2377,2478,2624,2287,2390,3292,944,1736,319,18448
30904,800,807,575,669,510,357,151,539,77,4494
30905,744,1652,868,1115,783,507,201,564,109,6559
30906,2226,3000,3194,2146,2540,2153,1024,2012,323,18623
30907,5947,5978,8016,4499,5808,5255,4946,5933,844,47224
30908,2557,5874,2291,3010,4017,3264,571,1710,391,23684
30909,4565,11698,5333,4524,6938,3820,2251,3237,719,43075
30910,3388,4773,2537,3866,4209,3573,475,2596,445,25868
31001,3942,4449,4962,4212,4235,2646,4169,4079,598,33291
31002,3099,2531,3034,2522,1836,1293,1416,2418,347,18508
31003,3081,7076,4022,4985,4436,3728,2237,5015,560,35128
31004,2212,3330,2685,2603,2324,2632,2281,2550,359,20975
31101,735,729,703,714,608,408,366,818,77,5154
31102,970,1862,1178,1573,1333,1191,526,1454,202,10294
31103,1992,2402,2412,2252,2165,2702,2075,2324,340,18660
31104,782,888,1172,741,918,723,605,909,101,6836
31105,2631,4664,3104,2630,3030,2696,1448,2323,347,22879
31106,3486,5104,4236,3487,4783,3890,2093,2828,518,30427
31201,2459,2117,6160,1242,1577,902,8285,2719,391,25850
31202,5195,7326,8117,4473,6160,4732,4095,4861,751,45703
31203,1343,1173,1504,1282,1039,1011,554,1250,142,9288
31301,555,766,752,826,596,769,257,714,95,5335
31302,2205,4269,2649,3166,2890,3099,1432,3284,387,23390
31303,561,430,429,651,357,263,316,875,62,3949
31304,1425,1791,2258,1697,1706,1347,1340,1795,194,13541
31305,1866,4019,2407,3055,2391,2264,742,2031,258,19027
31401,1552,2649,2159,2107,1814,1679,567,1319,207,14068
31402,1569,2728,1988,2346,1923,2654,480,1578,215,15488
31403,2543,2917,3619,1915,2968,2259,1943,1978,330,20469
31501,1580,1806,1656,1640,1108,495,1132,1479,283,11173
31502,1824,2406,3507,1477,1602,923,2731,1896,323,16684
31503,2165,1120,1066,852,907,540,619,1482,166,8911
31601,1954,4358,2839,1861,2741,1544,1068,1531,238,18146
31602,3332,5021,4332,3935,4291,4200,1140,2713,412,29378
31603,3440,4800,3720,3992,4362,4629,828,2650,433,28849
31605,2270,3074,2417,2527,2034,2457,430,1722,248,17175
31606,1990,1850,1973,1441,1272,1262,848,1974,207,12819
31607,1987,5272,2392,2487,2808,1483,1027,1908,286,19649
31608,673,985,815,544,621,428,262,578,78,4974
31701,6774,13015,8801,7566,9493,6525,4038,7084,773,64066
31801,2710,2208,2289,1817,1793,1371,1650,2469,241,16551
31802,8060,16045,11363,12399,11591,8096,5373,7600,1194,81722
31901,3582,4810,3869,3701,3787,3398,2069,4375,443,30037
31902,3171,2098,1999,1945,1657,1407,1369,3077,323,17043
31903,2193,2284,2107,1863,1812,1702,1210,2248,267,15694
31904,1525,3114,2036,2571,2020,2142,704,1794,237,16153
31905,1477,1872,1733,1952,1827,1294,1039,1591,205,12995
39797,9,53,36,15,13,3,14,52,4,202
39999,6495,8918,34854,7958,3721,4424,8983,21381,2113,98838
40101,14569,40807,7813,11779,27032,7293,1185,5150,1980,117609
40102,2900,3550,2784,2678,2203,2282,1100,2531,257,20295
40103,2093,5057,1469,2136,2908,1739,221,889,242,16760
40104,949,2052,1290,1548,1056,1111,460,914,128,9500
40105,2975,5781,2871,2607,3589,2700,434,1775,311,23048
40106,945,1913,987,1146,1048,1058,138,731,119,8081
40107,2572,5373,1952,3189,2891,1655,276,1223,258,19383
40201,1108,1553,1235,1218,1071,1174,591,1374,127,9445
40202,2812,5054,2395,3495,2262,2837,1664,3753,429,24701
40203,2546,3509,3154,3281,2583,2809,2544,2717,390,23530
40204,5034,7776,6563,5010,5278,4167,4787,5472,819,44910
40205,1957,3870,2808,3526,2241,3567,998,2295,274,21526
40301,1323,2104,1549,2617,1430,1554,216,1255,140,12187
40302,2384,3951,2842,3515,2926,2860,1072,2013,285,21844
40303,2373,10021,3019,3363,3390,2105,614,2175,293,27353
40304,4194,6380,5466,5510,4097,5220,2005,4480,493,37846
40401,4473,7499,5738,4910,4890,4606,2834,3876,554,39378
40402,4743,4444,7123,3393,4936,3308,5916,4952,676,39487
40403,5624,7135,6428,4137,7022,4474,3521,4398,683,43418
40501,2335,1853,1801,1355,1530,1068,1025,2787,192,13942
40502,2235,1039,1003,822,865,611,566,1583,141,8860
40503,1846,1428,1340,1222,996,959,862,1247,156,10046
40504,1603,1067,1042,964,862,863,494,1060,143,8105
40601,3775,3252,3210,2483,2419,2145,1995,2877,441,22594
40602,1406,1923,2731,1683,1249,872,2350,1498,287,13987
40701,2560,2054,1823,2036,1553,1562,647,1977,192,14400
40702,5047,3594,3601,2840,3093,2988,2350,4607,388,28512
40703,5144,3254,3179,3013,2672,2500,1896,5587,437,27691
49797,3,12,14,3,0,0,7,19,0,64
49999,2139,3071,12101,3898,1273,1496,2402,7300,627,34311
50101,2964,2983,2924,2342,2214,2326,867,2573,271,19460
50102,4322,6639,7446,4481,5100,4139,4245,5346,669,42390
50103,1960,1050,1093,756,865,712,654,1337,138,8572
50201,2438,4306,4194,3818,3081,3531,1702,2908,399,26378
50301,4234,14917,3987,5349,5198,2870,533,2298,532,39927
50302,26647,68378,15624,15742,36041,10208,3440,8226,3138,187451
50401,2872,3598,4646,3180,2958,3386,1698,2675,427,25443
50402,997,1638,1383,1381,1075,912,549,1126,146,9214
50403,6501,8192,9274,5568,7139,5609,5411,5567,885,54150
50501,4175,10812,4948,7430,5872,7304,1046,3861,647,46089
50502,8911,14203,10767,7226,10781,8483,2959,6167,1067,70563
50503,5014,6073,8284,5059,5372,4900,3347,5254,686,43987
50601,1638,3514,2511,2443,1986,2327,1006,1943,237,17605
50602,7131,8417,8704,7631,8352,5026,6294,5159,981,57696
50603,7794,11413,9864,4965,9354,6491,7297,5713,1103,63997
50604,2528,3701,4107,3606,2657,2860,1894,2593,357,24306
50605,1617,2121,2363,1590,1947,1312,1762,1516,249,14475
50606,598,615,778,555,535,287,464,687,68,4583
50607,1546,4035,1481,1951,1813,1000,198,906,191,13119
50701,5140,5771,9198,3416,5346,3746,3934,4047,712,41309
50702,3561,6044,3455,3438,3601,2197,1641,2548,444,26931
50703,1245,1761,2979,1243,1242,716,1758,1440,275,12657
50704,3830,12162,4363,4837,5321,4967,959,3218,556,40209
50705,3024,5244,4448,4927,3178,4330,1356,3084,475,30054
50901,4617,3635,3147,2787,2663,2213,1376,3244,377,24069
50902,5378,2420,3047,1829,2292,1362,2150,2938,352,21766
50903,2816,1159,1595,750,858,479,1388,1161,192,10401
51001,1863,3040,2080,2195,1783,917,785,1563,353,14587
51002,1590,2734,7187,1060,1434,595,6287,2132,479,23495
51003,2462,4103,12622,1505,2368,804,6693,5260,712,36533
51101,1324,895,1042,560,779,607,736,905,102,6952
51102,792,622,818,490,544,327,318,607,95,4616
51103,1933,3253,5313,1741,2024,1313,5025,2023,442,23072
51104,3397,3696,4138,2408,2705,1912,2784,2723,439,24199
59797,89,301,531,41,30,0,188,379,35,1595
59999,2643,4577,20738,4549,2026,2034,5905,10798,1106,54379
60101,287,326,421,405,266,333,406,352,46,2838
60102,1622,2501,2148,2454,1825,1823,727,1474,231,14804
60103,2096,2342,3431,2628,2620,2491,2168,2425,374,20581
60104,934,1490,1334,1033,790,1012,307,838,107,7840
