SA3_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
10102,46,14,0,0,61,977,325,11,18,1327
10103,27,5,0,0,34,623,391,6,28,1044
10104,86,33,0,3,126,2044,940,26,75,3084
10105,27,6,4,3,41,793,435,10,39,1276
10106,39,14,0,0,54,949,619,16,36,1618
10201,198,27,3,3,230,3988,1179,35,50,5254
10202,136,31,0,3,169,2637,841,16,50,3544
10301,45,16,0,0,61,1055,488,8,18,1579
10302,61,15,0,7,73,1905,1201,10,87,3206
10303,48,13,0,0,61,1028,501,10,44,1580
10304,42,6,0,0,50,1430,594,23,55,2100
10401,50,12,0,7,63,1249,466,4,51,1763
10402,102,34,0,6,146,2387,888,45,57,3379
10501,30,8,0,3,42,704,446,15,37,1198
10502,5,4,0,0,10,335,209,13,20,575
10503,76,20,0,6,99,1891,1021,20,74,3008
10601,62,5,0,6,76,1393,496,3,35,1930
10602,48,14,0,0,61,1112,421,19,22,1563
10603,73,16,0,3,88,1368,469,13,27,1881
10604,21,9,0,0,33,655,293,13,18,985
10701,50,19,0,4,71,1060,362,12,25,1453
10702,0,0,0,0,0,0,0,0,0,0
10703,63,15,0,5,78,1578,561,9,33,2179
10704,96,16,0,4,117,2459,837,54,35,3383
10801,26,9,0,3,39,761,326,6,22,1108
10802,47,10,0,5,59,1183,483,4,51,1719
10803,0,0,0,0,0,21,11,0,0,29
10804,81,20,0,0,104,2028,795,28,24,2882
10805,52,17,0,3,69,1240,476,10,39,1773
10901,54,7,0,6,69,1439,661,23,29,2157
10902,10,8,0,0,22,329,248,9,10,596
10903,47,14,0,0,67,1142,572,11,33,1760
11001,39,9,0,0,41,1090,573,20,52,1738
11002,42,12,0,7,52,1299,612,4,44,1959
11003,37,7,0,0,45,731,462,19,32,1239
11004,92,29,0,10,124,2012,961,29,62,3063
11101,89,11,0,0,102,2100,663,22,32,2819
11102,49,4,0,0,53,1201,332,11,17,1564
11103,135,28,3,3,167,3327,1065,92,51,4538
11201,188,36,0,4,227,3449,1058,38,85,4628
11202,94,18,3,0,114,2176,786,23,72,3059
11203,129,18,0,6,154,2472,692,18,48,3236
11301,41,4,0,3,48,1176,617,20,61,1878
11302,12,3,0,3,18,426,189,3,19,630
11303,91,33,3,7,132,2321,1212,33,73,3647
11401,125,25,0,6,157,2399,967,34,68,3465
11402,92,5,0,3,108,1700,469,11,35,2213
11501,149,26,0,3,181,2676,685,39,31,3429
11502,44,6,0,0,48,859,239,6,10,1118
11503,27,0,0,0,30,591,169,0,14,773
11504,38,8,0,0,44,676,171,4,6,858
11601,105,20,0,4,134,1964,516,25,32,2533
11602,67,8,0,0,82,1381,235,6,11,1629
11603,67,13,3,3,82,1287,312,20,26,1636
11701,109,9,0,3,118,1253,269,18,23,1566
11702,95,20,0,3,121,1784,388,18,22,2214
11703,695,129,9,23,854,11540,3213,1629,152,16527
11801,242,15,0,3,264,4370,930,45,52,5394
11802,133,17,0,4,153,2614,630,27,25,3301
11901,178,38,0,7,220,3003,853,19,41,3911
11902,114,27,3,3,148,2334,516,17,29,2895
11903,92,20,0,0,103,1867,568,16,16,2471
11904,119,11,0,3,132,2190,592,14,31,2823
12001,87,13,0,5,106,1782,397,15,23,2215
12002,98,15,0,4,112,1876,351,16,20,2256
12003,160,27,0,0,180,3028,752,28,39,3845
12101,161,23,3,7,198,3059,782,46,28,3910
12102,88,17,0,0,108,1677,402,7,14,2102
12103,107,13,0,3,123,2517,503,11,27,3061
12104,176,21,5,0,204,2998,712,60,20,3787
12201,55,8,3,0,70,1250,271,10,13,1537
12202,129,8,0,0,136,2155,476,9,28,2670
12203,212,32,3,3,246,3916,860,38,34,4848
12301,65,13,0,0,74,1056,330,5,12,1413
12302,115,20,0,3,137,1978,553,25,29,2577
12303,43,3,0,0,46,786,241,0,18,1042
12401,84,12,0,0,100,2096,522,10,25,2657
12402,0,0,0,0,0,0,0,0,0,0
12403,122,24,0,4,156,2268,725,18,35,3049
12404,46,9,0,0,59,841,347,5,11,1197
12405,59,3,0,0,65,732,228,4,16,984
12501,136,19,3,0,164,1698,409,19,26,2153
12502,76,8,0,0,90,1127,264,10,13,1411
12503,152,41,3,5,196,2278,632,20,32,2965
12504,163,23,0,5,198,2411,708,49,28,3189
12601,40,6,0,0,49,840,200,6,5,1051
12602,159,19,5,5,187,2729,629,41,27,3429
12701,68,7,0,0,73,1372,295,11,21,1695
12702,152,28,0,4,192,2482,972,27,43,3529
12703,119,15,0,3,137,1825,537,23,27,2411
12801,116,27,3,3,146,2381,760,25,44,3203
12802,72,17,0,3,97,1891,489,16,13,2408
19797,0,0,0,0,0,16,3,0,0,16
19999,1157,129,3,35,1319,36345,4957,45,606,41954
20101,96,16,0,7,118,1818,589,46,41,2492
20102,28,3,0,0,36,914,278,3,27,1227
20103,30,3,0,4,39,573,244,7,23,846
20201,108,28,0,3,134,1611,596,30,44,2283
20202,83,11,0,0,95,1504,420,0,29,1957
20203,7,3,0,0,14,462,193,3,27,685
20301,13,4,0,0,18,451,143,0,12,606
20302,183,48,0,6,243,3506,1152,54,78,4790
20303,99,6,0,3,104,1842,435,7,30,2314
20401,72,18,0,7,99,1567,514,10,54,2149
20402,68,13,0,0,85,1288,514,14,38,1858
20403,70,14,0,8,87,1853,665,15,53,2587
20501,49,8,0,3,67,1341,490,15,41,1891
20502,62,10,0,3,73,1255,497,3,29,1784
20503,107,16,0,3,129,2269,842,18,83,3216
20504,43,21,0,0,60,1009,433,9,25,1473
20505,56,7,0,0,66,1198,572,10,34,1811
20601,136,18,0,0,149,2188,445,17,22,2671
20602,72,17,0,0,89,1503,287,13,15,1816
20603,78,8,0,0,84,1292,379,12,16,1692
20604,459,86,10,5,564,6931,2049,1098,86,10173
20605,204,40,3,3,249,3627,758,71,51,4506
20606,104,26,3,7,136,2067,514,46,27,2655
20607,220,47,7,6,273,3666,907,83,55,4715
20701,208,25,3,9,241,3899,995,67,39,5006
20702,90,17,0,0,106,1570,327,21,14,1931
20703,117,14,4,0,142,2013,456,35,17,2517
20801,159,22,0,0,183,2619,565,17,20,3221
20802,168,18,0,3,193,3310,696,24,40,4071
20803,196,28,0,0,229,2930,718,29,25,3699
20804,55,9,0,0,69,1034,317,18,15,1382
20901,109,17,0,4,133,2268,564,24,37,2885
20902,105,15,0,3,119,1590,330,19,30,1964
20903,80,7,0,0,87,1465,321,17,11,1814
20904,166,15,0,3,191,2761,653,19,47,3482
21001,59,10,0,3,71,1156,335,15,22,1533
21002,43,7,0,0,47,670,181,4,10,870
21003,63,10,0,3,71,1193,260,6,25,1485
21004,30,3,0,0,36,633,136,3,7,783
21005,180,33,0,9,224,2661,542,28,54,3279
21101,160,42,0,10,207,3047,750,25,44,3866
21102,29,0,0,0,36,518,83,3,8,615
21103,135,23,0,0,164,2214,591,15,13,2832
21104,67,13,4,0,81,1202,262,9,11,1487
21105,194,18,0,5,220,3458,837,22,64,4385
21201,106,19,0,4,132,1781,486,17,41,2324
21202,114,28,0,4,148,2227,507,25,34,2799
21203,98,13,0,3,112,2222,422,25,31,2696
21204,262,54,3,8,321,3500,988,53,60,4596
21205,222,47,0,3,271,3381,845,41,36,4311
21301,152,33,0,6,195,2254,536,23,35,2851
21302,81,10,0,3,94,1650,360,10,28,2044
21303,103,19,0,3,118,1761,429,16,29,2234
21304,79,16,3,3,109,1852,416,10,28,2306
21305,172,21,0,5,201,3290,578,32,34,3940
21401,145,23,3,3,176,2533,657,29,48,3261
21402,206,24,0,0,237,4080,1035,32,80,5224
21501,67,14,0,7,85,1691,924,12,69,2697
21502,47,11,0,0,60,975,533,27,38,1572
21503,52,13,0,3,69,1034,492,7,44,1571
21601,40,20,0,3,62,1108,483,10,42,1634
21602,33,11,0,4,43,761,344,7,38,1150
21603,59,7,0,3,68,1277,410,35,38,1755
21701,39,11,0,3,51,1123,658,9,52,1838
21703,53,17,0,0,70,1486,770,15,48,2320
21704,40,13,0,5,62,1396,740,41,35,2218
29797,0,0,0,0,0,4,0,0,0,4
29999,953,80,4,28,1068,29383,3988,45,569,33984
30101,62,8,0,0,77,1291,332,13,18,1652
30102,92,10,0,4,107,1580,434,10,22,2050
30103,92,23,3,0,118,1487,384,17,29,1918
30201,28,4,0,0,32,605,145,0,3,753
30202,66,15,0,0,79,1388,377,33,15,1809
30203,52,11,0,0,62,1163,292,33,20,1496
30204,51,12,0,3,63,888,220,4,11,1128
30301,47,0,0,0,48,911,218,9,8,1145
30302,96,10,0,0,110,1692,441,11,19,2166
30303,65,13,0,0,78,1290,320,9,8,1627
30304,40,8,6,0,59,937,232,13,8,1194
30305,81,15,0,3,105,1214,285,17,15,1533
30306,43,3,0,0,42,776,133,6,0,915
30401,34,3,0,0,32,652,147,6,4,804
30402,58,4,0,0,59,882,138,6,8,1034
30403,59,7,0,0,68,1004,233,5,6,1249
30404,38,12,0,0,43,900,187,20,6,1109
30501,181,25,3,6,212,3272,1164,605,39,5085
30502,37,9,0,3,49,857,204,15,11,1076
30503,123,14,3,3,151,2304,518,33,28,2882
30504,80,10,0,5,98,1662,474,27,19,2186
30601,56,3,0,0,63,1182,277,3,20,1476
30602,140,33,0,3,174,2245,855,59,40,3193
30603,36,10,0,3,43,826,393,7,39,1265
30604,21,4,0,0,22,422,189,5,14,628
30605,57,14,0,0,72,1113,560,17,33,1730
30701,63,21,0,3,89,1515,766,7,57,2345
30702,44,12,0,4,56,1364,541,12,48,1964
30703,49,9,0,8,62,1193,474,16,51,1741
30801,27,4,0,0,36,596,329,3,17,942
30803,82,35,3,0,119,1959,941,52,39,2994
30804,13,9,0,0,26,502,255,3,20,786
30805,43,17,0,0,59,952,335,8,20,1315
30901,125,35,3,0,167,2061,561,26,24,2670
30902,83,14,0,0,93,1388,386,15,30,1817
30903,80,15,0,5,101,1418,294,11,15,1738
30904,30,8,0,3,36,599,166,0,15,781
30905,46,3,0,3,53,858,141,0,11,1009
30906,90,9,0,0,102,1576,322,4,19,1920
30907,164,30,0,5,203,2658,559,22,30,3267
30908,70,8,0,0,80,1213,195,20,14,1453
30909,103,31,0,0,132,1827,532,16,26,2399
30910,94,15,0,0,113,1348,381,29,18,1774
31001,77,23,3,5,112,1158,336,21,12,1527
31002,67,18,0,5,89,1318,433,12,40,1810
31003,79,9,0,3,94,1470,446,20,25,1960
31004,49,10,0,3,64,1071,256,3,19,1354
31101,18,3,0,0,25,345,103,0,13,460
31102,30,7,0,0,32,600,196,4,13,814
31103,58,9,0,0,73,1104,300,14,15,1425
31104,60,11,0,0,70,851,218,0,6,1080
31105,66,17,0,4,84,1061,247,19,13,1344
31106,77,15,0,0,99,1471,414,18,18,1923
31201,16,9,0,0,28,561,357,13,31,963
31202,89,31,0,4,120,1903,768,33,52,2753
31203,38,5,0,0,42,568,228,4,13,815
31301,46,5,0,0,53,551,172,8,4,737
31302,57,15,0,0,76,1101,359,21,12,1493
31303,18,0,0,0,17,319,106,3,12,438
31304,68,11,0,0,73,911,257,12,8,1195
31305,83,11,0,0,93,1088,326,9,11,1441
31401,88,15,0,0,107,1644,366,8,32,2052
31402,63,3,0,7,67,1029,185,3,13,1230
31403,49,16,0,0,60,784,278,10,4,1072
31501,25,13,0,0,40,437,269,7,18,732
31502,22,5,0,0,30,430,221,3,24,680
31503,32,6,0,0,41,661,411,4,26,1108
31601,79,24,0,0,103,1363,359,10,12,1747
31602,132,16,3,0,146,1987,534,18,36,2572
31603,104,29,3,0,142,1755,565,17,26,2364
31605,114,15,0,3,130,1600,379,13,21,2011
31606,101,25,0,0,126,1527,471,24,39,2062
31607,96,13,0,0,111,1302,374,14,17,1709
31608,53,5,0,0,61,749,175,0,18,943
31701,140,47,0,4,189,2657,977,43,41,3721
31801,44,10,0,0,51,899,555,13,36,1502
31802,173,42,3,3,223,3112,1107,56,45,4322
31901,56,19,0,3,80,1412,812,37,41,2302
31902,59,12,0,9,79,1392,535,9,52,1986
31903,80,21,0,4,104,1276,503,5,36,1821
31904,67,8,0,3,76,924,348,10,14,1291
31905,39,11,0,0,46,759,306,8,18,1087
39797,0,0,0,0,0,11,5,0,0,15
39999,882,86,3,25,995,23510,3449,29,360,27349
40101,126,26,0,10,159,1986,1011,302,37,3343
40102,81,13,0,3,99,2128,612,13,53,2798
40103,61,5,0,3,72,1089,331,23,11,1454
40104,48,7,0,3,56,876,216,7,19,1118
40105,44,7,0,0,54,1219,462,39,13,1730
40106,21,3,0,3,29,601,165,10,11,788
40107,43,8,0,3,51,1091,327,31,11,1466
40201,44,3,0,0,48,719,215,16,15,965
40202,52,12,0,0,65,1255,350,10,17,1641
40203,49,6,0,0,61,1206,246,11,17,1475
40204,104,21,0,7,136,2020,519,27,38,2611
40205,68,10,0,0,80,1550,414,17,13,2001
40301,44,10,0,0,62,849,287,15,9,1161
40302,74,9,0,0,89,1602,376,4,16,1992
40303,81,4,0,0,90,1473,325,14,15,1823
40304,132,25,0,8,166,3213,807,26,47,4096
40401,95,23,0,4,119,2226,599,30,37,2887
40402,82,17,0,3,99,1291,355,14,22,1682
40403,79,13,0,3,102,1578,405,15,35,2033
40501,47,4,0,0,49,988,405,15,42,1450
40502,34,8,0,0,40,818,505,9,36,1370
40503,17,7,0,3,23,623,401,3,24,1052
40504,19,17,0,3,39,797,458,4,22,1283
40601,55,18,0,0,75,1340,886,14,49,2286
40602,16,0,0,0,16,370,192,4,11,575
40701,57,14,0,4,75,1627,654,23,42,2354
40702,64,23,0,0,84,1714,1155,33,64,2966
40703,56,20,0,0,80,1856,997,30,60,2940
49797,0,0,0,0,0,5,0,0,0,4
49999,326,20,0,10,359,10129,1279,14,174,11595
50101,79,19,0,4,113,1876,786,27,45,2734
50102,97,34,0,3,130,1868,890,37,52,2849
50103,33,10,0,3,46,827,442,11,17,1296
50201,94,23,0,0,114,1720,591,24,18,2352
50301,113,14,3,0,130,1882,520,44,19,2465
50302,311,74,3,4,395,4294,1661,443,54,6457
50401,102,26,0,3,126,1769,533,27,16,2351
50402,46,14,0,0,61,947,233,9,13,1205
50403,173,49,3,3,227,2635,872,43,22,3574
50501,207,30,4,8,242,3432,860,38,25,4361
50502,215,48,3,5,268,3908,1075,78,52,5111
50503,211,60,0,10,277,3740,1097,56,62,4946
50601,64,9,0,3,75,1227,405,10,21,1667
50602,125,19,4,5,152,1914,449,42,23,2424
50603,151,43,3,3,197,2060,633,55,23,2771
50604,90,19,4,4,118,1773,509,16,14,2319
50605,76,21,0,3,97,1083,323,6,18,1431
50606,26,4,0,0,34,513,168,0,8,690
50607,59,12,0,0,72,790,268,24,5,1078
50701,123,27,3,4,153,2039,576,23,21,2666
50702,98,23,0,6,128,1565,467,23,23,2072
50703,23,6,0,4,35,501,123,4,7,639
50704,132,26,0,5,162,2121,577,25,22,2745
50705,100,23,0,3,132,1831,572,22,19,2446
50901,69,26,0,8,99,1887,1171,18,75,3153
50902,81,34,0,0,116,1814,1089,15,64,2982
50903,16,8,0,5,27,765,658,11,33,1476
51001,28,12,0,0,44,451,203,8,19,686
51002,16,3,0,3,20,233,63,11,7,312
51003,22,8,0,0,34,301,80,12,12,405
51101,14,4,0,0,23,455,370,3,18,844
51102,16,3,0,0,23,279,169,0,14,460
51103,26,9,0,0,41,418,200,5,12,638
51104,62,22,0,3,86,1139,749,6,35,1932
59797,3,0,0,0,3,16,6,0,0,23
59999,558,48,0,8,616,13864,2145,26,218,16256
60101,7,5,0,0,13,199,80,0,3,288
60102,40,7,0,0,44,915,308,16,16,1260
60103,53,16,3,0,73,941,356,18,12,1319
60104,24,3,0,0,36,799,185,3,15,1006
60105,80,26,3,3,104,1906,664,83,18,2676
60106,15,4,0,0,16,408,126,7,12,544
60201,46,16,0,3,63,1528,703,48,36,2317
60202,20,3,0,0,20,596,243,5,29,880
60203,37,10,0,0,50,909,375,11,27,1325
60301,13,3,0,0,16,261,161,8,5,430
60302,18,0,0,3,23,612,194,5,11,822
60303,9,0,0,0,8,215,107,0,8,326
60401,40,12,0,0,49,773,398,9,26,1201
60402,30,7,0,0,42,864,350,10,21,1244
60403,21,7,0,0,29,449,289,3,10,751
69797,0,0,0,0,0,0,0,0,0,0
69999,80,10,0,3,90,2396,362,3,56,2817
70101,35,5,0,3,47,653,216,27,13,906
70102,37,17,0,0,50,788,257,15,22,1085
70103,23,0,0,0,26,480,102,3,11,593
70104,19,4,0,0,20,324,107,0,3,441
70201,25,5,0,0,29,429,160,13,23,620
70202,7,3,0,0,8,44,11,0,3,59
70203,3,0,0,3,5,129,32,0,8,165
70204,9,0,0,0,9,62,21,0,5,85
70205,16,0,0,0,16,186,44,0,6,234
79797,0,0,0,0,0,5,0,0,0,4
79999,27,5,0,0,29,627,98,0,13,736
80101,50,8,0,0,60,1146,288,7,12,1457
80103,10,4,0,0,16,149,49,24,0,221
80104,28,8,0,0,38,796,181,7,7,997
80105,71,3,0,0,79,1074,257,74,11,1415
80106,50,10,0,3,63,824,344,56,15,1241
80107,30,3,0,0,28,994,209,13,7,1222
80108,14,3,0,0,17,319,62,3,0,382
80109,29,4,0,0,35,557,137,9,9,712
80110,0,0,0,0,0,32,12,0,0,42
80111,0,0,0,0,0,14,6,0,0,22
89797,0,0,0,0,0,0,0,0,0,0
89999,43,7,0,0,45,1350,171,4,11,1534
90101,0,0,0,0,0,30,11,0,3,42
90102,0,0,0,0,0,10,3,0,0,19
90103,0,0,0,0,0,12,0,0,0,13
90104,4,0,0,0,8,103,84,0,4,192
99797,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,5,5,0,0,11
