SA3_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
10102,16,80,60,58,119,135,87,109,6,669,26,82,36,64,102,143,47,117,139,752,477,1743,1252,1574,2667,2747,1580,2644,271,14949
10103,5,29,15,19,41,69,27,53,6,272,19,31,22,18,42,31,31,47,80,313,295,953,858,1259,1740,1334,980,2022,224,9660
10104,22,145,97,116,160,164,78,137,11,928,33,115,78,97,101,118,41,88,224,899,1006,3628,2949,3665,4253,3311,1726,2933,500,23971
10105,13,63,48,59,113,106,43,82,8,529,32,50,26,34,74,65,26,55,101,466,491,1441,1409,1653,2795,2170,1042,2100,267,13372
10106,16,71,35,44,86,79,40,53,3,433,17,61,45,43,66,53,29,69,113,501,386,1492,1207,1422,1812,1684,900,2119,264,11285
10201,77,403,324,334,539,407,266,319,41,2714,74,279,202,185,369,394,118,278,465,2353,2091,8343,7480,7760,10699,9964,4411,6963,1053,58776
10202,47,252,216,253,352,319,153,225,23,1840,62,210,165,145,351,306,97,194,380,1918,1641,6290,5674,6201,8988,7628,3495,5177,857,45957
10301,10,112,68,66,159,132,75,117,4,741,42,71,57,66,136,107,45,104,162,784,743,2461,1917,2149,4099,3271,1654,2932,395,19613
10302,15,93,78,80,141,181,84,139,7,811,38,62,47,63,115,131,57,110,254,870,810,2226,1974,2433,3250,3392,1990,4487,555,21121
10303,11,88,81,72,117,131,54,155,8,712,27,62,47,42,75,84,19,70,117,548,666,1935,1799,2023,2949,2708,1720,3218,351,17373
10304,32,108,88,81,186,171,125,226,8,1016,33,79,49,53,121,124,62,107,204,843,960,2612,2345,2698,4591,4277,2539,4610,450,25090
10401,21,81,54,92,147,124,49,102,6,680,33,82,51,45,96,72,31,47,161,616,645,2156,1920,2358,3112,2228,1235,2234,349,16229
10402,31,187,119,154,278,224,112,167,9,1287,37,141,133,112,184,154,61,110,253,1177,1159,4626,3844,4899,6371,4808,2347,3962,607,32611
10501,12,23,23,24,50,70,23,45,0,270,20,20,17,20,45,43,24,52,127,369,380,724,689,928,1439,1468,867,2850,293,9636
10502,7,36,30,38,62,56,28,43,3,302,16,21,13,16,40,21,16,36,94,279,352,793,630,871,1570,1267,618,1562,200,7862
10503,33,106,109,108,293,215,118,216,20,1217,44,84,67,70,139,178,69,117,271,1042,997,2803,2462,3083,5867,5015,2513,5053,599,28401
10601,46,176,135,149,233,208,141,241,8,1339,46,118,87,106,160,159,69,135,268,1145,1236,3808,3451,3344,5134,4978,3806,6122,640,32521
