SA3_CODE_2016,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000mo_Mng,CL_nfd_3000mo_Pro,CL_nfd_3000mo_TecTW,CL_nfd_3000mo_CoPSW,CL_nfd_3000mo_ClAW,CL_nfd_3000mo_SWks,CL_nfd_3000mo_MaOpDv,CL_nfd_3000mo_Lab,CL_nfd_3000mo_IDNS,CL_nfd_3000mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot
10102,0,0,0,4,3,4,0,3,0,18,0,0,0,9,3,7,0,5,0,27,3,3,0,17,16,3,3,7,0,53,6,0,3,11,8,3,7,4,0,46,6,3,3,3,13,7,0,5,0,32,10,0,3,0,16,3,0,0,3,39,0,0,0,3,4,0,0,0,0,15,3,0,0,3,8,0,0,0,0,19,7,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,45,16,24,53,75,35,23,33,7,312,10,0,7,0,0,0,3,3,0,30,4,4,5,13,3,0,3,3,0,36,5,0,19,16,9,7,3,12,0,73,15,3,23,24,8,4,3,12,3,103,9,3,43,18,10,20,4,16,0,133,22,3,73,44,22,23,20,17,3,236,24,12,127,45,41,20,23,42,3,346,52,8,229,48,71,20,73,46,3,549
10103,4,0,0,3,5,0,0,5,0,23,8,0,3,4,9,0,6,9,0,31,5,3,0,5,11,5,0,5,0,36,9,0,0,7,7,13,3,0,0,42,10,4,3,7,4,7,0,3,0,29,0,0,0,0,3,0,3,0,0,13,7,0,0,3,3,0,0,0,0,15,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,49,11,10,40,48,34,17,31,4,241,6,0,5,0,0,0,0,0,0,14,3,0,3,6,3,8,3,3,0,33,10,6,13,15,0,11,3,18,0,74,12,4,21,29,10,12,5,20,0,113,17,7,21,23,15,22,6,12,3,128,32,9,64,59,34,26,18,34,3,282,49,13,90,77,44,34,31,51,3,399,69,12,166,63,27,23,52,53,5,464
10104,4,4,3,20,10,15,0,11,0,63,19,3,11,24,22,15,3,13,0,108,14,11,3,32,26,25,3,18,0,133,10,4,6,15,30,10,4,14,0,97,15,5,3,13,19,9,3,9,0,74,10,3,3,3,5,3,0,11,0,36,8,3,3,0,0,0,0,0,0,21,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,3,0,0,3,3,5,0,3,0,14,101,54,42,141,144,98,22,86,9,689,10,0,14,0,4,3,0,9,3,47,13,7,22,14,5,10,3,19,0,98,23,10,66,40,20,20,7,28,7,225,30,15,89,65,25,35,10,46,3,325,41,16,123,105,52,46,10,58,8,459,74,42,192,187,87,112,23,84,11,804,90,40,338,185,92,115,63,106,7,1034,129,48,427,150,121,81,85,144,12,1203
10105,0,5,3,10,6,7,0,0,0,27,9,0,0,12,18,7,0,7,0,55,3,3,4,12,16,7,0,3,0,55,11,3,0,5,32,3,0,9,3,59,6,0,0,8,10,4,3,4,0,39,12,0,0,3,6,0,3,0,0,26,3,0,4,7,3,0,3,0,0,19,0,0,0,3,0,3,3,0,0,15,3,0,0,7,3,4,3,0,0,14,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,48,17,14,76,114,38,19,29,4,366,15,0,4,0,8,0,0,3,0,30,3,0,5,9,8,3,0,5,4,48,14,3,16,20,10,14,4,16,0,91,19,3,30,36,9,14,5,18,3,137,19,8,46,40,23,24,7,33,3,194,36,22,73,81,42,36,11,29,4,334,42,24,122,99,51,38,17,53,7,461,72,15,201,85,73,33,50,48,0,585
10106,4,0,3,4,3,3,0,5,0,21,12,0,3,17,5,7,0,0,0,44,5,5,4,8,10,9,0,8,0,47,12,0,0,11,9,4,5,7,0,50,8,0,4,5,6,6,0,0,0,29,7,0,0,3,10,0,0,0,0,21,4,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,9,3,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,6,62,16,26,58,61,38,18,31,3,310,14,0,7,0,3,4,0,3,0,31,11,0,0,3,4,5,0,3,0,29,9,3,16,13,10,11,3,26,0,93,15,4,32,20,11,6,6,18,0,112,23,5,54,40,12,22,6,22,0,194,51,22,63,71,36,24,12,44,3,327,51,21,126,72,40,35,21,61,0,423,77,12,176,55,48,28,47,82,4,522
10201,6,7,13,32,28,19,3,12,0,116,10,10,12,61,63,18,11,24,4,211,11,22,20,65,69,40,11,24,0,251,17,15,21,44,75,28,10,30,0,240,19,25,10,24,73,12,17,15,0,197,26,12,3,11,43,11,6,0,0,109,12,9,9,19,20,12,7,3,0,79,16,9,4,3,5,3,4,3,0,45,16,9,0,3,5,16,4,0,0,47,7,6,0,0,3,3,0,0,0,26,3,3,0,9,8,0,0,3,0,22,152,131,106,319,410,189,67,148,14,1542,14,3,17,11,10,4,4,7,0,78,10,11,35,41,27,35,3,30,4,195,13,39,80,98,41,84,13,66,8,432,30,29,132,144,90,72,18,76,5,593,21,51,194,183,99,95,23,84,6,754,76,84,318,382,235,150,59,127,12,1444,108,132,587,378,257,183,112,205,27,1993,208,139,868,384,384,169,159,214,21,2558
10202,3,3,6,18,17,25,4,10,0,95,10,11,9,41,41,23,4,18,4,165,5,20,10,55,62,34,11,20,3,211,12,14,17,37,57,40,25,22,0,218,14,14,6,26,51,14,10,0,0,134,6,6,4,8,19,5,15,10,3,77,12,9,9,17,9,4,3,3,3,67,3,0,0,5,6,0,3,3,0,21,4,3,3,3,5,5,3,0,0,28,3,0,0,3,0,8,0,0,0,18,3,0,0,6,5,0,0,4,0,21,86,98,74,260,296,191,83,112,19,1229,7,3,16,5,13,9,0,3,6,60,4,12,22,29,12,45,3,20,0,141,21,14,86,75,38,63,14,37,3,355,27,30,94,133,54,76,21,62,10,499,28,45,178,189,90,88,23,71,6,714,57,78,288,344,158,158,40,125,9,1267,98,119,455,385,216,139,125,149,19,1697,180,105,718,291,281,131,175,186,24,2095
10301,9,0,0,3,9,3,3,10,0,34,4,3,0,13,16,14,3,12,0,55,18,9,7,15,13,21,3,16,3,99,6,0,6,15,31,10,5,13,0,99,10,3,7,4,20,3,8,9,0,58,6,5,3,3,12,0,3,3,0,33,3,3,6,4,8,3,8,4,0,37,4,3,3,3,4,0,6,0,0,23,3,3,3,3,5,0,3,3,0,19,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,67,34,40,84,137,67,34,75,11,545,6,3,6,3,9,0,0,4,0,33,3,0,5,16,3,4,0,8,0,44,7,12,26,34,15,25,3,23,3,144,17,6,39,37,20,10,3,22,4,157,18,4,59,66,21,27,8,21,4,240,34,14,127,105,49,55,22,54,4,474,52,25,196,119,70,63,37,68,7,631,77,38,288,112,107,56,102,78,9,853
10302,21,3,5,15,8,4,4,9,0,69,17,9,3,20,20,7,3,14,0,93,9,12,4,21,22,10,4,9,0,85,12,7,3,16,23,4,9,7,0,83,21,6,6,5,17,8,6,6,0,76,15,0,0,0,9,4,8,8,0,40,8,3,0,3,3,4,3,0,0,34,9,0,0,0,0,0,4,0,0,10,5,0,0,0,0,3,3,0,0,13,9,0,0,0,0,0,0,0,0,13,4,0,3,0,0,0,3,0,0,10,163,43,32,98,129,55,49,62,6,638,45,0,8,6,3,0,3,4,3,67,19,7,8,13,13,9,3,3,7,79,40,9,36,34,18,15,4,32,3,173,54,19,46,41,28,20,13,31,3,252,44,14,67,63,27,30,13,33,6,305,108,21,149,122,63,59,34,67,7,615,109,51,206,138,82,64,55,104,4,811,154,40,299,101,109,45,71,99,17,939
10303,4,4,0,12,10,3,0,7,0,32,5,0,8,14,15,0,0,3,0,43,9,3,3,10,18,4,3,11,0,63,10,0,4,17,18,3,0,0,0,66,3,4,0,7,17,5,8,5,0,56,7,3,0,0,8,4,4,0,0,24,3,0,0,4,3,0,4,0,0,21,0,0,0,3,0,0,3,0,0,13,3,0,3,4,0,0,13,0,0,33,4,0,8,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,9,68,23,44,76,106,37,46,36,3,447,24,3,8,3,0,0,0,3,0,43,12,8,8,12,3,7,0,9,0,57,27,3,33,23,20,29,0,21,3,162,28,12,45,47,24,24,14,32,4,226,25,11,42,45,35,26,12,40,0,233,42,21,116,92,62,41,16,48,7,445,50,28,140,112,73,45,23,65,9,540,67,26,228,71,80,35,53,67,5,641
