SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
10102,121,27,8,1611,1211,216,198,39,22,1689,1114,201,182,32,20,1549,960,173,154,49,15,1355,629,118,154,52,17,973,252,73,105,49,18,495,75,32,57,42,3,211,25,14,48,45,3,138,11707,1369,1327,388,150,14949
10103,114,32,3,932,738,102,140,33,8,1011,778,103,138,35,11,1061,667,104,140,38,9,963,423,69,135,39,19,683,174,49,87,40,16,371,56,23,61,59,9,209,21,8,39,45,12,129,7470,647,1044,380,116,9660
10104,330,50,35,2404,2118,237,379,54,37,2830,2369,277,442,76,37,3197,2420,276,495,80,52,3328,1617,233,436,111,41,2439,517,156,258,81,25,1049,129,60,111,61,14,378,57,25,71,29,16,210,18164,1729,3084,640,365,23971
10105,136,34,10,1353,1202,90,145,17,13,1467,1237,115,180,54,17,1609,1085,101,160,80,22,1451,719,82,138,62,21,1023,266,54,128,83,8,540,78,33,67,58,12,246,39,17,63,47,12,179,10689,738,1276,499,167,13372
10106,166,49,19,1126,814,111,196,51,25,1205,872,124,203,74,26,1295,794,114,201,72,20,1195,513,104,209,104,10,940,245,82,158,113,17,609,55,19,115,101,8,301,29,16,83,105,17,251,7810,880,1618,785,184,11285
10201,682,97,59,6398,5301,681,774,106,74,6923,5230,674,662,102,75,6746,4941,558,700,108,64,6369,3040,430,487,92,54,4092,1092,281,302,68,35,1776,301,122,147,59,14,644,96,56,64,40,21,282,47732,4292,5254,861,627,58776
10202,468,62,46,5093,4190,472,461,69,57,5244,4171,419,477,73,58,5198,3650,377,433,89,57,4597,2269,263,374,68,39,3019,732,180,200,44,24,1179,210,91,60,41,15,411,59,28,40,18,18,166,38275,3016,3544,636,490,45957
10301,164,41,24,2045,1753,164,175,30,22,2152,1667,143,175,49,25,2068,1535,134,194,55,25,1945,1050,113,174,57,21,1409,371,78,157,76,13,696,116,27,94,61,9,309,43,15,58,41,10,174,16205,1096,1579,490,243,19613
10302,298,91,35,2085,1600,160,345,107,32,2248,1680,182,413,126,37,2439,1520,139,473,126,36,2299,1019,138,450,176,41,1826,399,86,286,157,28,956,133,43,164,107,25,472,59,32,175,159,27,449,15057,1205,3206,1259,403,21121
10303,178,33,22,1891,1665,151,180,28,33,2055,1668,151,198,50,25,2095,1543,136,220,63,26,1995,812,96,188,92,17,1197,294,61,126,94,13,595,103,36,81,90,10,318,29,20,75,74,18,212,13974,955,1580,607,253,17373
10304,233,34,27,2826,2313,209,225,39,31,2809,2123,189,239,55,37,2647,1984,167,265,57,27,2501,1170,147,227,91,21,1655,444,102,165,107,17,841,131,52,112,78,22,399,61,15,71,79,28,262,20617,1381,2100,662,331,25090
10401,206,26,21,1757,1501,112,222,40,31,1913,1591,161,221,63,39,2073,1582,129,295,79,33,2117,1026,131,221,74,26,1488,317,58,140,63,17,595,94,17,73,41,11,236,50,18,54,47,18,181,12780,903,1763,500,274,16229
10402,407,74,42,3626,2954,319,453,86,39,3848,2994,313,466,77,47,3896,2950,270,464,99,39,3828,1871,219,441,102,44,2681,601,115,254,83,13,1072,152,49,85,42,5,337,45,16,52,35,26,186,26164,1889,3379,770,406,32611
10501,93,50,19,926,751,91,129,69,13,1056,765,79,161,85,26,1120,676,61,180,115,17,1054,437,51,157,95,19,762,200,24,113,72,19,423,64,18,68,60,10,210,26,15,69,76,8,189,7002,499,1198,726,215,9636
10502,55,21,13,747,691,38,56,20,13,813,748,60,69,19,14,913,760,69,94,27,16,968,469,39,81,37,20,651,165,29,37,27,6,266,46,8,24,11,7,100,16,10,13,13,9,64,6569,346,575,214,151,7862
10503,292,61,34,2811,2359,216,313,103,41,3031,2359,242,380,106,43,3135,2247,195,389,134,50,3012,1451,156,374,117,29,2128,555,106,270,133,44,1106,158,57,137,114,22,484,84,35,138,128,30,413,22333,1559,3008,1083,426,28401
10601,204,45,40,3722,3094,250,224,55,37,3669,2835,216,246,61,50,3408,2508,189,269,80,33,3087,1368,182,224,91,25,1884,444,119,146,106,24,841,102,55,79,76,4,313,48,28,73,59,16,219,27910,1619,1930,694,369,32521
10602,193,36,24,2941,2483,232,184,31,27,2951,2251,211,205,34,30,2723,1970,205,202,35,15,2431,1085,149,167,29,21,1444,392,91,87,36,10,614,112,33,33,21,7,203,49,12,18,15,9,111,22765,1544,1563,346,219,26438
10603,227,33,26,3015,2532,206,241,36,25,3040,2469,239,246,45,26,3016,2057,237,274,40,26,2633,1202,191,220,51,20,1682,398,119,126,44,9,697,102,57,69,38,12,270,53,27,28,34,13,151,22516,1556,1881,397,267,26611
10604,107,28,22,1648,1396,83,106,32,10,1629,1381,79,122,48,17,1644,1130,67,123,52,20,1392,661,67,115,45,18,912,214,35,87,43,8,397,56,16,67,38,6,182,22,17,41,61,11,151,12418,557,985,400,179,14535
