SA3_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
10102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,7,20,107,194,259,245,174,51,1041,354,228,213,215,209,80,16,1313,32,33,29,28,25,6,7,155,2416,3120,3003,3237,2328,706,138,14949
10103,16,9,0,0,3,0,0,33,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,6,23,12,3,3,6,0,0,42,32,65,126,187,197,140,58,812,197,189,136,150,195,61,12,947,26,4,31,17,21,11,9,123,1781,1812,1642,2074,1640,579,129,9660
10104,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,0,0,0,4,6,0,0,14,22,104,274,380,535,325,84,1731,520,392,419,587,746,213,19,2894,73,39,49,49,62,32,17,331,2994,3222,4337,6027,5764,1424,210,23971
10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,0,0,7,27,89,129,183,247,211,77,959,296,275,238,277,244,95,14,1437,38,24,20,37,29,14,9,175,1953,2393,2525,3074,2471,788,179,13372
10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,4,0,0,11,31,90,194,273,345,310,123,1365,267,181,179,196,210,100,13,1144,28,23,29,32,20,13,9,156,1674,1712,2105,2501,2138,908,251,11285
10201,20,21,12,14,14,3,0,87,3,3,0,3,3,0,0,15,0,0,3,3,0,0,0,7,26,20,13,20,18,3,0,107,101,431,1020,1028,846,455,78,3957,1648,1238,1092,1109,1141,339,40,6612,114,90,105,135,83,51,28,596,9463,10540,11943,13672,10467,2418,282,58776
10202,15,14,10,10,3,3,0,45,8,3,0,0,0,0,0,9,4,3,4,3,0,0,0,12,20,17,10,11,6,3,0,65,68,297,607,628,545,219,39,2406,1341,952,875,891,880,223,24,5185,124,82,83,102,74,38,19,522,8075,8586,9484,10445,7616,1586,166,45957
10301,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,7,5,0,0,0,0,0,12,32,100,172,211,249,221,69,1048,546,377,310,297,344,110,21,2012,63,32,43,40,38,14,5,237,3249,3777,3837,4221,3357,998,174,19613
10302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,4,0,7,0,20,5,4,3,3,0,7,0,27,56,191,357,482,610,423,185,2313,380,372,279,374,369,135,32,1934,62,47,41,58,54,38,28,324,2897,3582,3948,4691,4125,1434,449,21121
10303,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,0,0,0,3,3,3,0,12,30,97,166,239,286,245,82,1148,320,410,363,402,345,117,9,1961,57,26,45,40,31,21,13,237,2243,3195,3471,4147,3188,916,212,17373
