SA3_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
10102,9,1027,877,164,71,12,5,1119,884,175,135,16,15,1223,789,169,117,21,20,1113,624,124,91,31,5,879,353,87,80,25,3,548,118,40,49,24,6,241,24,9,21,16,3,75,13,12,16,14,0,50,7556,1052,771,173,84,9631,718,0,5,6,3,735,436,0,13,0,0,454,304,9,20,3,0,342,274,22,38,3,4,343,240,22,31,15,0,314,330,34,45,12,4,424,278,40,57,18,3,396,275,33,54,10,0,369,286,34,59,21,3,406,234,32,67,24,3,358,120,20,55,30,5,233,43,17,33,24,0,121,18,3,24,27,0,72,3571,276,499,198,26,4566,390,31,40,11,12,477,198,14,23,12,27,271,11707,1369,1327,388,150,14949
10103,0,441,478,72,76,19,4,646,475,83,102,16,3,686,519,95,104,28,5,741,394,80,98,21,8,607,213,50,79,23,5,373,73,28,61,20,3,193,14,20,36,27,0,98,6,5,27,22,0,63,4606,503,715,201,43,6074,359,0,3,3,9,369,341,0,3,3,5,348,236,0,9,4,0,253,196,3,6,3,3,208,184,9,21,10,0,229,194,12,29,12,0,252,226,11,25,12,3,281,223,12,31,9,0,280,232,22,34,9,3,302,174,19,38,17,4,253,90,16,26,15,5,153,38,6,23,28,0,92,15,6,13,16,3,48,2501,123,269,139,44,3068,218,11,32,17,10,295,148,14,23,19,16,224,7470,647,1044,380,116,9660
10104,5,1059,1026,151,194,13,12,1398,1240,190,238,18,18,1706,1295,204,268,39,22,1823,1190,179,280,33,21,1702,649,131,214,39,16,1046,162,75,97,33,8,383,23,28,39,19,0,106,20,5,23,15,3,67,9001,1158,1686,240,139,12217,1049,0,3,7,17,1082,563,3,15,3,8,587,470,9,29,12,4,520,565,15,42,14,6,645,622,36,93,17,6,776,690,39,127,28,14,898,795,48,121,29,16,1002,957,57,158,34,13,1219,1068,86,194,38,12,1405,841,83,201,61,11,1204,318,69,137,47,3,579,94,26,68,31,7,225,38,19,46,16,4,112,8062,488,1243,334,122,10251,786,59,110,30,21,1006,319,19,46,35,78,500,18164,1729,3084,640,365,23971
10105,4,774,731,67,86,13,9,909,815,73,95,6,9,997,791,90,135,38,14,1072,675,81,108,57,7,934,398,56,85,34,10,579,110,29,65,46,8,256,27,17,32,30,4,110,12,8,32,18,0,71,6393,556,809,274,71,8104,562,0,0,11,13,584,340,3,10,0,5,358,280,6,21,11,0,314,335,15,28,8,4,391,292,7,28,10,0,340,314,16,43,17,3,389,338,15,42,9,3,401,401,22,39,13,5,474,343,18,48,20,3,428,282,13,57,18,9,381,134,21,53,31,3,245,51,19,28,24,3,123,23,5,21,23,0,80,3692,162,412,191,50,4510,415,11,34,14,17,491,180,8,21,19,33,267,10689,738,1276,499,167,13372
10106,3,602,464,95,104,28,10,700,498,78,138,30,16,759,518,91,137,42,11,799,433,92,136,43,14,716,263,75,124,58,8,529,88,55,83,50,12,287,16,14,62,49,5,141,8,8,41,44,3,115,4365,661,1004,397,90,6518,454,0,3,14,5,482,296,0,16,5,4,317,192,3,19,10,3,230,226,16,22,6,0,275,248,18,38,20,5,336,286,20,57,15,0,378,289,22,52,20,8,391,317,22,50,30,7,424,325,17,56,22,4,423,214,31,64,39,3,349,137,20,59,48,3,278,33,11,37,42,3,124,19,6,37,49,3,112,3039,186,516,326,56,4122,258,24,71,23,13,386,153,15,28,40,24,264,7810,880,1618,785,184,11285
10201,13,3182,2963,447,357,30,27,3820,3253,506,396,39,27,4223,3168,512,387,52,37,4156,2907,387,353,47,24,3707,1519,264,224,31,16,2052,391,136,119,11,15,661,68,44,53,10,3,182,25,16,26,14,0,79,25943,2964,2617,302,226,32044,3040,8,23,12,41,3119,2315,6,63,11,11,2411,1329,27,105,18,23,1502,1479,52,187,31,17,1761,1607,113,271,44,18,2051,1806,142,296,57,15,2310,1845,156,348,53,20,2429,1831,141,255,44,27,2294,1783,153,322,57,25,2337,1329,140,238,55,19,1782,630,132,174,53,16,1008,208,68,93,38,6,414,67,32,34,18,7,160,19269,1174,2416,481,235,23585,1786,97,133,32,41,2091,738,61,88,46,121,1053,47732,4292,5254,861,627,58776
10202,18,2570,2511,345,251,23,21,3154,2635,368,273,22,25,3326,2599,318,270,36,32,3255,2147,262,223,40,23,2699,1159,172,166,24,10,1535,268,100,70,17,4,460,47,38,11,10,0,102,13,11,6,9,0,41,20879,2163,1850,216,187,25290,2643,4,16,15,26,2698,1934,12,34,18,12,2014,1140,16,90,13,13,1273,1269,68,128,28,10,1504,1294,81,159,37,12,1574,1410,77,201,28,16,1737,1392,94,163,39,17,1708,1386,84,189,34,16,1712,1308,97,189,42,17,1655,965,88,191,39,10,1293,404,76,115,23,12,631,157,50,43,27,3,276,49,11,26,12,0,102,15347,751,1552,363,156,18162,1440,56,84,25,37,1641,603,51,61,38,106,857,38275,3016,3544,636,490,45957
10301,4,1193,1133,102,107,22,14,1380,1243,134,125,19,9,1529,1172,120,122,30,17,1466,1026,103,121,27,13,1288,603,76,107,45,6,836,168,51,86,40,5,353,34,15,37,23,0,105,10,7,30,14,0,56,9793,837,984,240,93,11953,844,0,4,12,5,869,823,4,19,7,10,862,483,9,13,8,3,513,469,19,33,3,8,533,428,15,50,9,0,509,496,17,53,16,7,587,446,29,45,12,6,533,428,26,42,16,3,518,435,24,71,23,5,561,367,31,64,14,3,470,175,23,61,33,3,296,72,14,48,31,7,173,24,11,23,24,6,92,5501,224,522,214,65,6523,632,34,30,20,29,743,278,7,35,22,55,395,16205,1096,1579,490,243,19613
10302,20,1226,961,118,216,62,21,1375,1034,139,268,73,19,1536,1067,150,306,88,18,1634,909,110,364,99,12,1499,546,98,314,109,14,1078,183,60,203,106,6,559,32,28,82,56,11,213,22,12,97,47,16,191,8980,933,2291,740,187,13124,674,0,5,16,10,709,438,3,8,8,4,467,396,9,27,14,8,452,467,23,40,27,14,568,425,13,66,20,5,531,492,26,63,28,12,619,482,20,70,29,5,610,531,24,87,23,12,683,506,14,88,23,11,650,402,36,114,59,14,621,199,23,71,38,12,342,87,10,67,39,11,208,39,13,64,67,4,185,5135,221,778,387,111,6637,614,30,93,45,19,810,320,20,45,81,84,555,15057,1205,3206,1259,403,21121
10303,8,1019,1004,91,118,16,16,1248,1064,120,113,14,23,1328,1059,126,127,30,12,1356,971,99,138,39,15,1256,427,64,119,49,10,661,114,33,70,52,4,270,30,21,34,42,0,130,9,12,36,27,5,88,8534,696,948,298,110,10595,552,0,5,8,6,576,348,0,9,4,8,365,333,5,21,12,5,372,413,20,44,22,3,497,385,19,44,9,4,465,469,29,44,12,4,566,524,31,66,11,8,638,530,23,65,17,5,649,491,32,71,25,13,626,333,23,57,37,6,460,160,22,54,39,11,280,68,15,46,44,0,173,17,8,36,37,4,100,4632,215,555,275,80,5760,558,28,53,14,13,666,246,16,20,19,49,351,13974,955,1580,607,253,17373
10304,12,1706,1651,154,142,21,13,1986,1643,168,151,21,15,1997,1458,156,157,34,25,1829,1319,138,164,33,11,1673,679,106,132,40,8,964,179,60,80,52,9,379,34,26,60,34,8,160,20,12,28,29,4,100,13217,1063,1278,312,145,16015,903,0,11,12,16,942,588,0,11,5,5,614,475,11,35,9,8,534,646,19,49,16,9,735,602,23,71,20,7,728,596,29,77,13,6,727,575,37,70,9,8,699,566,34,71,18,5,695,559,27,89,22,10,702,416,39,83,43,12,591,217,36,69,47,9,376,94,19,41,35,3,198,36,8,35,34,11,123,6281,271,724,276,103,7655,817,29,71,33,20,960,296,23,28,43,61,450,20617,1381,2100,662,331,25090
