SA3_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
10102,147,7,3,5,0,165,17,0,3,0,0,18,20,3,4,0,0,23,47,7,4,0,0,68,52,0,0,0,0,51,16,3,3,0,0,31,8,0,0,0,0,8,379,48,69,13,3,519,52,3,10,4,0,68,28,7,7,0,0,46,22,0,0,0,0,25,477,58,49,18,6,599,149,22,19,13,14,210,11707,1369,1327,388,150,14949
10103,22,0,0,0,3,22,14,0,3,3,0,19,4,0,0,0,0,10,31,0,5,0,0,36,16,0,0,0,0,16,24,0,4,3,0,31,4,3,0,0,0,12,271,25,51,20,5,376,36,3,9,0,0,47,3,0,3,0,0,6,4,0,3,0,0,11,192,15,26,9,0,242,185,19,32,24,9,268,7470,647,1044,380,116,9660
10104,90,3,4,0,3,105,15,3,0,0,3,18,7,0,0,0,0,10,54,17,9,4,0,83,9,3,3,0,0,11,26,5,8,0,0,42,3,0,0,0,0,3,719,65,177,26,11,1004,60,10,15,4,0,93,17,3,16,3,0,39,13,0,4,3,0,18,257,32,55,9,0,355,438,35,80,19,28,600,18164,1729,3084,640,365,23971
10105,66,0,10,3,0,72,4,0,0,0,0,5,0,3,0,0,0,3,17,0,0,0,0,20,13,0,3,0,0,15,17,0,3,0,0,25,0,0,0,0,0,4,235,26,44,20,3,331,27,0,3,3,0,31,17,4,0,0,0,22,13,0,0,0,0,18,184,11,12,9,3,219,209,16,37,20,9,284,10689,738,1276,499,167,13372
10106,19,0,0,0,0,24,7,0,5,0,0,8,3,0,0,0,0,3,27,3,0,0,0,28,14,0,0,0,0,17,6,0,0,0,0,12,0,0,0,0,0,0,174,27,44,33,5,282,28,3,4,9,0,42,8,0,4,3,0,12,5,0,0,0,0,5,106,8,19,9,3,152,196,11,48,14,16,292,7810,880,1618,785,184,11285
10201,353,22,12,7,6,400,51,8,13,0,0,71,29,3,7,0,0,44,300,42,78,9,3,427,69,14,5,0,0,87,147,18,19,6,4,190,14,7,10,0,0,24,2471,354,408,56,36,3325,194,20,24,7,5,250,81,6,21,4,4,118,65,3,0,0,0,76,957,132,154,35,14,1293,645,58,83,19,35,838,47732,4292,5254,861,627,58776
10202,287,15,15,4,3,319,20,0,3,0,0,19,16,5,3,0,0,27,158,23,31,3,0,215,32,7,3,0,0,40,89,4,16,9,0,121,3,0,0,0,0,6,1616,169,208,34,19,2052,106,9,17,3,0,138,53,6,15,5,0,81,47,7,6,0,0,58,584,88,79,29,10,786,587,43,69,24,41,763,38275,3016,3544,636,490,45957
10301,95,0,0,3,0,100,4,0,0,0,0,7,10,0,3,0,0,16,61,10,3,0,0,68,32,4,3,0,0,37,31,3,3,0,0,44,3,0,0,0,0,3,389,24,42,20,10,488,38,3,7,3,0,47,22,3,6,0,0,31,16,0,0,0,0,18,218,10,29,8,3,258,242,28,43,13,18,336,16205,1096,1579,490,243,19613
10302,86,0,3,3,3,99,3,0,0,0,0,5,3,0,0,0,0,3,48,6,7,5,3,70,16,0,0,0,0,17,9,5,0,0,0,17,0,0,0,0,0,3,200,27,52,15,3,302,20,3,4,7,0,31,5,0,4,5,0,17,11,0,0,0,0,10,95,14,18,7,6,131,314,47,88,63,34,537,15057,1205,3206,1259,403,21121
10303,71,10,3,0,0,86,4,0,0,0,0,8,3,0,0,0,0,6,36,5,4,0,0,49,13,0,0,0,0,11,23,0,0,3,3,29,0,0,0,0,0,4,352,29,57,24,4,470,26,0,6,3,3,43,13,7,5,8,0,32,9,0,0,0,0,15,128,21,16,3,4,176,316,23,53,25,23,445,13974,955,1580,607,253,17373
