SA3_CODE_2016,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000mo_Mng,CIII_IV_3000mo_Pro,CIII_IV_3000mo_TecTW,CIII_IV_3000mo_CoPSW,CIII_IV_3000mo_ClAW,CIII_IV_3000mo_SWks,CIII_IV_3000mo_MaOpDv,CIII_IV_3000mo_Lab,CIII_IV_3000mo_IDNS,CIII_IV_3000mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
10102,74,20,322,31,78,27,66,52,9,679,61,11,246,21,49,11,44,34,9,488,65,12,204,17,41,8,30,23,3,404,45,7,124,9,13,9,15,16,4,227,77,12,108,10,13,10,17,3,3,252,42,3,23,0,0,8,3,0,3,84,7,0,16,4,3,0,3,4,4,50,519,102,1567,303,376,182,309,286,52,3693,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,9,0,0,0,3,3,3,0,0,0,8,0,0,0,0,4,3,0,0,0,12,0,0,0,3,0,0,0,3,0,7,0,3,9,0,9,3,3,4,0,33,3,0,3,3,8,8,0,9,0,29,6,3,0,5,15,0,5,8,0,39,0,4,3,4,10,6,4,3,0,28,0,0,3,6,0,3,0,3,0,16,0,0,0,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3
10103,78,13,150,24,42,14,49,32,10,409,38,10,73,23,24,6,26,14,5,218,33,9,62,8,12,5,11,5,5,154,27,3,26,8,3,3,0,3,0,76,34,3,25,6,3,0,0,3,0,76,14,3,3,4,0,0,0,0,0,26,8,0,20,4,0,3,3,6,7,44,437,88,745,355,216,177,216,255,35,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,4,0,0,0,3,0,6,0,0,0,0,3,0,0,3,0,8,0,0,3,3,3,3,0,3,0,20,7,0,0,10,8,5,5,5,0,41,0,0,0,9,3,9,3,7,0,36,10,0,0,9,10,3,3,3,0,41,3,0,0,0,3,0,4,3,0,15,0,3,0,0,5,0,0,0,0,7,4,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
10104,138,40,322,78,129,47,82,105,19,954,76,29,194,25,45,19,64,46,9,507,61,12,120,9,19,16,30,16,0,284,22,10,63,13,10,3,7,18,7,150,37,6,49,13,7,10,11,0,0,144,13,3,12,4,3,3,3,0,0,48,17,0,34,8,4,7,3,12,7,92,788,274,2065,894,630,535,400,692,88,6364,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,8,0,22,0,0,4,6,3,4,0,8,0,31,3,0,4,6,5,6,0,7,0,32,3,0,7,13,17,7,0,15,0,60,8,3,3,14,6,16,4,8,0,69,6,4,9,7,34,16,7,16,0,87,9,8,3,15,13,4,4,10,0,62,4,8,3,5,18,4,8,7,0,54,0,3,3,5,3,4,0,3,0,20,0,0,0,0,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,5
10105,92,18,188,86,73,21,60,40,4,578,46,15,101,59,27,4,47,23,6,332,53,9,81,56,25,7,38,11,3,281,20,3,45,35,15,4,35,3,3,160,31,6,50,23,10,5,29,8,0,171,21,3,17,3,0,0,0,0,0,50,10,0,17,5,0,3,12,5,8,62,496,136,996,641,360,213,319,284,50,3501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,4,3,12,4,0,0,3,0,4,0,3,0,19,0,0,4,4,6,3,0,0,0,20,7,0,0,7,12,6,3,3,0,34,9,0,0,7,5,9,0,7,0,37,3,0,4,9,8,3,4,6,0,37,3,0,0,0,5,0,3,3,0,17,0,0,4,7,11,3,0,4,0,23,0,0,4,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
10106,85,15,152,25,37,15,36,31,7,409,43,5,70,14,17,10,25,17,7,199,57,0,43,7,14,4,17,5,0,143,23,3,34,4,3,3,10,0,4,90,18,5,27,3,3,3,7,6,0,72,16,0,7,0,0,0,0,4,0,32,10,0,16,6,3,4,0,5,5,53,500,108,821,332,249,170,195,324,30,2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,0,0,3,5,0,0,4,0,15,3,0,0,0,5,3,0,3,0,18,0,0,0,0,6,0,0,8,0,14,0,0,0,4,8,4,0,7,0,30,10,0,0,4,3,8,3,11,0,36,3,3,0,3,8,5,3,8,0,36,4,0,3,0,3,0,4,3,0,23,3,4,0,0,0,3,0,0,0,12,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
10201,234,115,921,205,291,109,176,142,31,2232,189,82,515,85,131,77,87,63,12,1241,187,57,330,87,101,43,61,44,20,935,114,29,197,36,43,24,33,12,12,498,146,61,173,21,41,34,28,11,4,524,65,13,32,3,8,6,9,6,3,151,32,10,71,14,18,18,11,16,15,202,1449,860,4472,2072,1780,1099,805,1109,181,13821,5,0,0,0,0,0,0,0,0,6,0,0,0,3,3,4,0,7,0,29,0,3,6,13,4,16,0,15,0,65,0,7,4,13,19,25,7,12,0,82,3,4,8,20,11,13,0,15,0,76,3,5,6,29,30,31,9,15,0,124,6,7,7,22,30,18,6,23,0,114,12,9,11,13,52,15,3,12,3,132,20,11,10,7,47,21,10,0,0,118,10,5,3,7,17,8,5,0,0,47,11,0,0,3,12,3,0,3,0,36,3,0,0,0,0,0,0,0,0,12
10202,195,100,768,182,251,89,192,138,32,1957,172,71,441,74,166,53,112,50,8,1151,122,48,317,56,87,33,62,64,12,810,78,27,188,28,34,13,33,41,4,443,122,29,155,11,27,27,46,21,9,451,48,13,41,8,9,13,7,8,3,143,7,8,72,24,15,9,10,10,19,183,1165,696,3836,1831,1453,949,872,989,173,11965,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,16,0,6,0,32,0,3,0,17,8,35,0,5,3,74,0,0,0,17,7,18,0,15,0,61,3,4,3,10,13,25,4,13,0,87,9,7,8,27,29,38,0,13,0,129,7,5,12,19,25,20,7,25,5,128,16,3,10,18,32,12,9,11,0,114,12,3,4,13,32,10,9,4,0,82,5,3,3,3,7,3,3,3,0,38,3,0,3,3,3,3,0,0,0,14,3,0,0,0,4,0,0,0,0,12
10301,89,51,308,79,109,39,74,75,9,830,69,33,196,60,70,17,56,39,6,541,74,25,148,60,35,14,32,44,8,436,60,12,94,47,8,8,15,18,10,273,77,12,103,17,8,10,12,13,6,264,22,3,12,0,0,5,5,6,0,57,5,0,22,9,3,0,7,5,4,70,616,239,1628,758,523,332,389,475,75,5035,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,14,0,0,4,7,4,6,0,8,0,32,5,0,3,7,3,9,0,3,0,29,0,0,4,5,6,9,0,9,0,38,0,8,6,10,12,11,0,13,0,56,4,0,3,7,12,6,5,9,0,46,6,6,3,6,24,9,12,12,0,69,9,0,0,4,11,6,9,6,0,40,7,0,7,0,11,0,3,7,0,30,12,0,0,0,3,0,0,4,0,19,0,0,0,3,0,0,0,0,0,6
10302,176,28,284,57,98,44,101,74,10,861,108,13,149,30,40,22,64,28,5,466,62,11,119,6,19,8,65,14,4,321,49,7,78,3,8,3,53,4,0,204,68,10,107,0,11,8,54,8,4,268,27,3,16,3,0,3,7,3,0,65,25,5,34,8,7,3,5,8,12,110,1072,228,1593,625,526,339,545,520,86,5540,8,0,0,0,0,0,0,0,0,10,3,0,0,0,3,5,0,5,0,22,3,0,0,3,7,5,0,8,0,30,3,3,4,9,4,3,0,14,0,38,0,0,3,10,4,11,0,7,0,39,8,0,6,9,12,16,0,13,0,65,14,0,3,6,18,13,3,8,0,68,17,0,3,3,17,9,5,3,0,72,12,4,6,3,8,0,7,3,0,47,3,0,0,0,5,0,3,0,0,15,7,0,0,0,3,3,0,0,0,13,7,0,0,0,3,0,3,0,0,10
10303,94,20,270,52,72,23,88,43,13,676,35,18,190,20,47,9,94,18,4,431,41,15,163,27,29,9,99,20,3,391,24,9,141,19,10,7,89,14,4,326,44,17,316,8,14,4,358,18,13,793,29,8,157,3,6,3,73,6,0,289,15,5,32,8,6,4,18,3,12,95,534,197,1891,544,482,258,958,411,65,5342,3,0,0,0,0,0,0,3,0,11,0,3,0,3,0,3,0,0,0,11,3,0,0,7,6,3,0,3,0,23,3,0,0,7,6,3,0,7,0,32,3,0,0,9,3,3,0,8,0,27,3,0,0,10,15,7,0,9,0,47,3,0,3,7,12,10,3,7,0,47,3,0,3,3,18,8,0,5,0,41,3,0,3,0,10,3,3,5,0,31,4,0,0,0,3,0,3,0,0,13,0,0,3,0,7,0,5,0,0,20,0,0,0,0,0,0,8,0,0,11
