SA3_CODE_2016,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Zimbabwe_E,M_Zimbabwe_OM_IE,M_Zimbabwe_OM_UIE,M_Zimbabwe_CFW,M_Zimbabwe_ES_NS,M_Zimbabwe_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_FYROM_E,F_FYROM_OM_IE,F_FYROM_OM_UIE,F_FYROM_CFW,F_FYROM_ES_NS,F_FYROM_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Malta_E,F_Malta_OM_IE,F_Malta_OM_UIE,F_Malta_CFW,F_Malta_ES_NS,F_Malta_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW
10102,6,0,0,23,15,0,0,0,0,12,269,38,36,8,4,357,72,12,14,4,5,108,6562,1006,807,195,91,8660,4082,271,414,151,36,4953,11,0,0,0,0,14,42,3,6,0,0,53,7,0,0,0,0,7,0,0,0,0,0,0,19,0,0,0,3,28,21,3,0,0,0,25,21,4,3,0,0,30,0,0,0,0,0,6,5,0,0,0,0,8,136,4,0,3,3,150,14,0,0,0,0,14,8,0,0,0,0,9,0,0,0,0,0,4,9,3,0,0,0,9,13,0,5,0,0,15,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,23,3,0,0,0,23,3,0,0,0,0,3,8,0,0,0,0,9,72,9,12,3,0,97,9,0,0,0,0,11,77,3,0,5,0,85,3,0,0,0,0,4,5,0,0,0,0,6,22,3,3,0,0,33,12,0,0,0
10103,0,0,0,3,6,0,3,0,0,9,81,10,12,5,0,112,85,13,22,11,5,133,3683,392,646,200,64,4987,3158,221,305,143,39,3866,24,0,3,0,0,25,9,0,0,3,0,13,4,0,0,0,0,5,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,13,0,8,0,0,21,0,0,0,0,0,0,14,0,0,0,0,16,6,0,0,0,0,6,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,3,0,9,6,3,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,17,0,0,0,0,15,78,4,4,6,0,89,0,0,0,0,0,0,18,0,0,0,3,19,6,0,5,3,0,14,5,0,0,0,0,6,14,3,5,0,0,16,3,0,0,0
10104,10,3,0,16,3,0,3,0,0,6,104,25,28,4,0,161,188,23,47,9,15,287,7976,1140,1904,278,202,11494,8839,495,966,296,130,10728,26,0,3,0,0,26,11,0,5,0,0,21,3,0,0,0,0,4,0,0,0,0,0,4,10,0,0,0,0,14,0,0,0,0,0,0,46,3,10,5,0,61,4,0,0,0,0,0,8,0,3,0,0,10,30,0,3,0,0,39,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,20,0,3,0,0,24,5,0,0,0,0,10,5,0,0,0,0,7,3,0,3,0,0,6,3,0,0,0,0,3,13,0,3,3,0,21,3,0,0,0,0,7,21,3,3,0,3,33,155,5,18,5,0,196,0,0,0,0,0,0,74,3,4,0,0,81,6,0,0,0,3,13,4,0,0,0,0,4,25,8,7,0,0,34,0,0,0,0
10105,0,0,0,9,4,0,0,0,0,4,96,4,8,7,0,116,98,10,25,10,3,144,5029,522,847,286,92,6777,5007,182,347,171,66,5781,4,0,0,0,0,5,12,3,7,4,0,26,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,0,15,0,0,0,0,0,0,13,0,3,0,0,17,0,0,0,0,0,0,3,0,0,0,0,4,37,0,0,0,0,40,3,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,4,5,0,4,0,0,10,3,0,0,0,0,3,4,0,0,0,0,3,22,0,0,0,0,25,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,3,10,0,3,0,0,12,63,0,6,0,0,77,0,0,0,0,0,0,44,0,4,3,0,50,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,7,4,0,0,0
10106,0,0,0,3,4,0,0,0,0,3,52,4,15,4,0,72,95,12,27,7,6,151,3671,602,1001,403,101,5775,3684,237,534,335,65,4859,3,0,0,0,0,5,14,4,4,3,0,22,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,7,3,0,3,0,15,0,0,0,0,0,0,4,0,0,0,0,4,18,0,0,0,0,15,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,18,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0,5,3,0,15,56,8,4,3,0,71,0,0,0,0,0,0,12,0,0,0,0,17,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,15,8,0,0,0
10201,8,4,3,50,24,3,0,0,0,37,434,89,81,6,13,622,279,39,44,7,21,398,20034,2843,2983,373,321,26543,22948,1050,1701,354,242,26289,80,6,7,0,3,97,135,35,35,3,3,217,15,3,0,0,0,13,18,3,0,0,0,23,48,3,0,3,0,52,4,0,0,0,0,4,58,10,19,4,0,90,6,0,4,0,0,7,35,5,3,0,0,45,161,15,6,7,8,195,46,3,5,0,0,53,3,0,3,0,0,12,3,0,0,0,0,10,81,3,4,0,3,101,24,10,8,3,0,38,49,3,5,0,0,57,71,9,15,4,0,99,11,0,0,0,0,16,51,4,11,0,0,66,12,0,3,4,0,20,43,7,7,0,0,56,616,50,58,17,3,750,9,0,0,0,0,9,241,15,9,3,6,274,26,3,5,0,0,37,21,3,5,0,0,23,177,11,45,3,0,237,24,0,3,0
10202,5,0,0,27,18,4,0,0,0,30,274,59,45,16,8,395,260,34,50,7,10,362,16878,2033,2129,270,246,21556,18327,780,1117,276,184,20677,30,0,0,0,0,36,96,18,21,4,0,141,16,0,0,0,0,16,3,0,0,0,0,8,28,0,3,0,0,29,7,0,0,0,0,7,43,0,8,3,0,54,10,0,0,0,0,9,10,3,0,3,0,21,109,12,13,0,0,133,24,0,0,0,0,28,10,3,3,0,0,19,0,0,0,0,0,0,62,0,3,0,0,62,14,0,0,3,0,16,14,0,0,0,0,21,25,3,0,0,0,34,12,0,5,0,0,18,36,0,4,0,3,40,11,0,3,0,0,18,37,3,5,0,0,41,415,27,36,7,3,490,9,0,0,0,0,13,215,9,7,4,3,240,12,0,0,0,0,12,8,0,0,0,0,13,80,3,13,3,0,99,15,3,3,0
10301,3,0,0,16,7,0,0,0,0,8,120,4,9,6,0,138,106,12,15,9,9,160,7693,733,965,262,132,9771,7574,313,512,201,95,8697,14,0,0,0,0,22,22,0,3,0,0,28,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,14,0,5,0,0,26,0,0,0,0,0,4,4,0,0,0,0,4,47,3,3,3,0,53,3,0,3,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,21,0,0,0,0,24,7,0,0,0,0,8,7,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,3,15,0,0,0,0,16,7,0,0,0,0,7,9,0,3,3,0,14,122,6,11,3,0,145,3,0,0,0,0,3,61,0,0,3,0,65,3,0,0,0,0,4,4,0,3,0,0,7,20,0,3,0,0,30,11,0,3,0
10302,0,3,0,9,4,0,0,0,0,7,52,12,10,3,3,74,152,25,61,39,20,292,7260,835,2093,716,248,11152,7162,314,1001,478,126,9083,11,0,0,0,0,14,14,3,8,8,0,33,3,0,0,0,0,3,4,0,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,3,0,4,0,0,4,29,3,4,0,0,33,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,8,12,0,0,0,0,12,4,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,5,6,0,0,0,0,6,59,3,13,6,3,76,3,4,0,0,0,3,55,0,3,3,3,65,3,0,0,0,0,5,0,0,0,0,0,0,23,4,3,3,0,34,6,0,0,0
10303,3,0,0,16,10,0,0,0,0,12,73,16,9,5,0,103,159,13,29,9,14,220,7403,601,913,323,135,9378,5863,296,557,232,95,7044,11,3,0,0,0,11,12,0,6,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,12,3,3,0,0,22,0,0,0,0,0,5,0,0,0,0,0,5,21,3,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,6,9,0,0,0,0,11,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,6,0,4,0,0,11,80,5,12,4,0,108,0,0,0,0,0,0,55,7,3,0,0,65,3,0,0,0,0,3,0,0,0,0,0,4,14,0,3,0,0,23,5,0,0,0
