SA3_CODE_2016,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000mo_Mng,CI_II_3000mo_Pro,CI_II_3000mo_TecTW,CI_II_3000mo_CoPSW,CI_II_3000mo_ClAW,CI_II_3000mo_SWks,CI_II_3000mo_MaOpDv,CI_II_3000mo_Lab,CI_II_3000mo_IDNS,CI_II_3000mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000mo_Mng,LE_IDNS_3000mo_Pro,LE_IDNS_3000mo_TecTW,LE_IDNS_3000mo_CoPSW,LE_IDNS_3000mo_ClAW,LE_IDNS_3000mo_SWks,LE_IDNS_3000mo_MaOpDv,LE_IDNS_3000mo_Lab,LE_IDNS_3000mo_IDNS,LE_IDNS_3000mo_Tot,LE_IDNS_PINS_Mng,LE_IDNS_PINS_Pro,LE_IDNS_PINS_TecTW,LE_IDNS_PINS_CoPSW,LE_IDNS_PINS_ClAW,LE_IDNS_PINS_SWks,LE_IDNS_PINS_MaOpDv,LE_IDNS_PINS_Lab,LE_IDNS_PINS_IDNS,LE_IDNS_PINS_Tot,LE_IDNS_Tot_Mng,LE_IDNS_Tot_Pro,LE_IDNS_Tot_TecTW,LE_IDNS_Tot_CoPSW,LE_IDNS_Tot_ClAW,LE_IDNS_Tot_SWks,LE_IDNS_Tot_MaOpDv,LE_IDNS_Tot_Lab,LE_IDNS_Tot_IDNS,LE_IDNS_Tot_Tot
10102,0,0,4,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,12,15,19,34,56,25,13,28,0,215,3,0,0,0,0,0,0,0,3,8,0,0,0,3,3,5,0,0,0,12,0,0,0,4,0,0,0,0,0,8,0,0,0,3,4,3,0,3,0,16,3,0,3,3,9,3,0,3,3,29,3,0,7,3,8,0,0,7,0,30,3,0,5,8,10,9,0,9,5,50,3,5,11,9,9,3,10,11,0,57,7,0,10,3,10,0,10,7,3,52,10,3,0,4,5,0,3,3,0,31,9,5,4,3,8,0,0,4,0,36,3,3,0,0,0,0,0,4,0,14,5,6,0,0,3,0,3,0,0,19,5,3,0,0,0,0,0,0,0,5,0,3,0,0,3,0,3,0,12,18,60,29,52,40,63,31,32,47,33,383
10103,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,39,4,12,43,41,17,11,37,0,204,3,0,0,0,0,0,0,0,0,4,3,0,0,0,4,7,0,3,3,18,0,0,0,0,3,5,0,4,0,11,3,0,0,7,0,3,4,4,3,28,3,0,3,0,5,3,0,7,3,24,3,8,4,11,9,9,3,9,8,62,5,0,4,6,7,11,5,9,3,49,13,3,4,12,11,8,0,3,3,52,15,5,7,3,3,0,0,3,0,38,5,4,5,0,6,0,0,0,0,19,9,3,0,0,3,0,0,0,0,19,0,0,4,3,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,6,3,0,7,3,5,0,3,3,25,75,23,33,49,52,42,28,51,29,382
10104,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,32,74,105,76,19,77,0,463,8,0,0,3,0,0,0,3,0,17,0,0,3,7,3,15,0,7,5,41,7,3,3,6,5,6,0,8,0,40,13,0,9,12,6,14,0,13,3,67,3,8,5,18,4,14,4,19,4,84,13,7,6,22,15,18,11,9,0,103,11,12,20,16,19,16,4,17,9,126,12,16,14,13,20,14,7,17,3,121,18,12,11,4,20,3,3,7,6,90,9,9,10,0,5,0,3,0,6,47,9,11,3,0,3,0,3,0,0,29,4,8,0,0,3,0,0,0,0,23,6,6,0,0,0,0,0,0,0,12,3,7,0,0,0,0,0,0,0,3,3,4,10,6,3,6,3,5,17,58,117,92,99,110,107,113,34,117,53,844
10105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,23,3,19,40,55,38,10,32,3,224,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,15,0,0,0,3,0,5,0,7,3,23,4,0,3,9,0,0,0,7,0,26,6,0,0,3,6,3,0,3,3,31,4,5,5,9,9,3,0,3,3,42,9,3,0,5,20,9,3,12,3,70,5,5,0,4,11,0,3,10,3,60,10,3,3,12,9,3,0,0,3,45,3,3,3,3,7,0,5,0,0,27,6,5,0,7,0,0,4,0,0,27,3,3,0,7,0,0,3,0,0,17,7,3,3,3,0,0,3,0,0,22,4,0,0,0,0,0,0,0,0,15,8,0,3,0,0,3,4,0,4,19,78,39,32,59,70,40,34,62,28,435
10106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,33,7,7,18,43,26,11,44,0,197,6,0,4,0,0,0,0,0,0,11,4,0,3,4,0,5,0,0,0,18,3,0,0,9,0,4,0,4,3,22,3,0,4,5,10,3,3,4,0,27,10,5,3,8,0,0,3,0,0,33,9,3,3,5,6,3,0,16,0,52,7,3,3,9,9,10,3,14,4,63,4,3,4,4,3,4,7,9,4,48,15,3,3,0,8,3,3,7,0,47,3,0,3,6,3,3,6,0,0,20,7,3,4,3,5,0,3,3,3,28,4,0,0,0,0,0,3,0,0,7,9,5,0,0,0,0,0,0,0,17,7,0,5,0,0,0,0,0,0,12,12,0,0,0,3,0,0,5,12,33,94,31,42,47,46,47,32,71,21,433
10201,8,9,0,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,4,0,0,0,13,90,50,48,133,226,164,43,112,7,881,3,3,0,0,7,3,0,3,0,23,0,6,0,9,3,22,0,18,5,68,3,4,14,19,13,21,0,18,4,95,10,12,14,17,18,14,3,14,0,102,7,11,10,23,24,17,8,17,9,133,12,22,16,32,52,24,11,31,8,208,23,24,30,25,32,30,15,33,5,215,18,29,28,41,56,23,13,31,13,254,34,32,24,20,60,9,9,18,14,210,16,25,16,19,23,10,8,5,6,133,18,22,8,3,11,4,3,5,3,74,9,25,6,3,4,4,8,0,7,61,14,26,3,3,3,3,0,0,8,63,6,33,3,0,0,0,0,0,8,48,9,15,13,16,10,9,6,12,46,133,183,272,180,240,324,195,90,207,135,1820
10202,3,0,3,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,9,66,36,54,128,173,186,46,100,10,797,0,0,0,0,3,0,0,6,4,15,0,0,4,0,4,23,0,10,0,43,0,6,6,12,13,10,3,16,7,64,11,0,10,14,8,15,4,20,3,85,5,6,10,29,17,19,5,15,3,102,4,19,20,25,33,33,5,21,14,166,21,20,18,42,31,16,26,37,7,209,19,19,17,21,39,26,18,27,5,189,19,16,17,13,24,12,27,17,5,152,10,18,16,8,18,4,10,4,0,89,7,16,9,0,13,4,3,7,7,61,4,14,3,0,0,0,0,4,0,37,6,11,0,0,4,0,0,4,0,23,5,4,0,3,4,0,0,0,0,21,0,7,7,10,5,9,4,13,32,84,123,145,134,183,209,167,105,195,79,1347
10301,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,23,29,53,95,56,28,62,0,391,4,0,0,0,0,0,0,0,0,5,3,0,4,3,3,7,0,7,0,20,5,0,5,8,0,5,0,7,3,32,10,5,4,7,7,3,3,7,0,45,8,0,3,8,7,12,0,9,0,43,8,7,7,9,9,11,3,4,3,57,10,0,9,9,5,13,8,26,3,80,11,6,7,12,15,7,12,6,4,92,8,6,10,3,5,3,3,6,0,48,5,6,4,3,9,3,3,3,0,41,5,17,6,3,3,0,3,4,5,38,5,5,0,6,3,0,0,3,0,23,3,0,0,0,0,0,3,0,0,13,9,5,0,0,0,0,0,0,0,18,12,3,8,3,5,3,3,8,14,50,100,70,60,70,71,63,46,92,36,601
10302,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,7,0,0,0,3,0,0,0,0,7,92,16,28,57,93,68,20,63,5,440,17,0,0,0,0,0,0,4,6,29,6,0,0,3,0,12,0,13,0,31,17,0,0,12,4,7,0,15,5,55,9,8,3,12,4,4,0,9,3,51,18,3,13,17,10,10,4,7,0,88,22,5,8,20,15,10,11,17,7,110,23,7,14,13,17,13,8,22,3,121,20,6,12,15,17,8,14,12,3,109,32,10,4,4,12,11,9,5,0,92,12,3,6,3,3,4,7,8,0,49,7,4,3,0,0,0,3,0,0,21,7,5,4,0,0,0,8,0,0,26,9,3,0,0,0,0,5,0,3,19,17,9,4,0,3,0,0,3,0,35,11,4,3,3,3,3,3,10,16,58,219,67,79,99,87,90,70,117,50,888
10303,3,0,0,0,3,0,10,0,0,17,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,42,14,21,47,82,41,33,51,3,332,9,0,0,0,0,0,0,3,6,15,3,0,4,0,0,3,0,3,0,16,4,3,3,4,7,13,3,8,0,42,6,0,0,3,11,3,3,3,3,40,11,0,6,10,9,3,3,9,3,55,7,3,3,13,17,17,5,11,0,78,10,0,9,6,10,8,9,11,3,57,12,8,4,5,18,3,9,11,3,73,10,9,5,8,9,4,12,3,0,51,13,7,3,5,4,0,11,9,0,43,0,0,0,3,4,0,6,0,3,22,4,4,0,3,0,0,8,0,0,24,3,4,7,0,0,0,13,0,3,28,0,3,4,0,0,0,5,3,3,15,5,3,0,4,3,0,6,11,15,51,87,52,56,57,84,59,87,78,43,613
